# Smithsonian Microbeam Standards - preferred composition downloaded 19-Oct-2020 https://collections.nmnh.si.edu/media/?irn=13396554
Name,Catalog Number,EZID,IGSN,Ag2O,Al2O3,As2O3,B2O3,BaO,Bi2O3,CaO,Ce,Ce2O3,Cl,Co2,CoO,Cr2O3,Cs2O,CuO,Dy,Er,Eu,F,Fe2O3,FeO,Gd,H2O,H2O-,HfO2,Ho,K2O,La,La2O3,Li2O,Lu,MgO,MnO,Na2O,Nd,NiO,P2O5,PO4,PbO,Pr,REE2O3,Rb2O,S,SO3,Sb2O5,Sc,SiO2,Sm,SnO2,SrO,Tb,ThO2,TiO2,Tm,UO2,V2O3,V2O5,Y,Y2O3,Yb,ZnO,ZrO2,nB2O5,Subtotal,Total
Anorthite,NMNH 137041,ark:/65665/33e4c040e-36c5-42e9-bbbd-f3885ae7dffd,NHB007H6N,,36.03,,,,,19.09,,,,,,,,,,,,,,0.62,,,,,,0.03,,,,,<0.02,,0.53,,,,,,,,,,,,,44.00,,,,,,0.03,,,,,,,,,,,,100.33
Anorthoclase,NMNH 133868,ark:/65665/340527d91-cb62-49b2-be35-429b59e8adf0,NHB007H6J,,20.12,,,,,0.87,,,,,,,,,,,,,,0.20,,<0.05,,,,2.35,,,,,,,9.31,,,,,,,,,,,,,66.44,,,,,,,,,,,,,,,,,,99.29
Chromium augite,NMNH 164905,ark:/65665/33d2beb939-e28c-434e-bb56-d1ff49600caf,NHB007H6U,,8.03,,,,,17.30,,,,,,0.85,,,,,,,1.04,3.77,,,<0.10,,,<0.01,,,,,17.32,0.12,0.84,,,0.00,,,,,,,,,,50.48,,,,,,0.51,,,,,,,,,,,,100.26
Kakanui augite,NMNH 122142,ark:/65665/360220db7-4af5-41e2-8f56-2cbdd7fed9b0,NHB007H6E,,8.73,,,,,15.82,,,,,,,,,,,,,1.08,5.37,,0.04,,,,0.00,,,,,16.65,0.13,1.27,,,,,,,,,,,,,50.73,,,,,,0.74,,,,,,,,,,,,100.56
Benitoite,NMNH 86539,ark:/65665/33cbe6430-670e-4356-a567-b162edf1e34a,NHB004H6I,,,,,37.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.75,,,,,,19.35,,,,,,,,,,,,100.15
Calcite,NMNH 136321,ark:/65665/33ac62deb-4fc9-4ff2-9940-69f2f3cc92fe,NHB0011JO,,,,,,,56.10,,,,44.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.11
Chromite,NMNH 117075,ark:/65665/33772fddd4-a576-43cf-964b-4c7b8dedfa59,NHB006QSZ,,9.92,,,,,,,,,,,60.50,,,,,,,,13.04,,,,,,,,,,,15.20,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.77
Diopside,NMNH 117733,ark:/65665/3732a732a-2805-453a-a918-73fe2c6a854f,NHB007B4T,,0.11,,,,,25.28,,,,,,,,,,,,,,0.25,,,,,,,,,,,17.79,0.04,0.25,,,,,,,,,,,,,55.81,,,,,,,,,,,,,,,,,,99.53
Dolomite,NMNH R10057,ark:/65665/30e0b4328-bd4b-43e2-a024-fc8219970a86,NHB003ZL5,,,,,,,30.56,,,,46.93,,,,,,,,,,,,,,,,,,,,,22.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.53
Fayalite,NMNH 85276,ark:/65665/310607213-0da0-4a8a-b031-6a610c3de707,NHB004H4O,,,,,,,,,,,,,,,,,,,,1.32,66.36,,0.10,,,,,,,,,,2.14,,,,,,,,,,,,,,29.22,,,,,,0.04,,,,,,,,,,,,99.18
Fluorapatite,NMNH 104021,ark:/65665/3d6257e77-f37c-4352-8472-5f76fed7b5d6,NHB0055U6,,0.07,0.09,,,,54.02,,,0.41,0.05,,,,,,,,3.53,0.06,0.00,,0.01,,,,0.01,,,,,0.01,0.01,0.23,,,40.78,,,,1.43,,,0.37,,,0.34,,,0.07,,0.02,,,,,0.01,,,,,,,101.52,99.94
Gahnite,NMNH 145883,ark:/65665/3df25dbfa-e916-4ab7-a088-27c1f3b8113e,NHB007H6S,,55.32,,,,,,,,,,,,,,,,,,,1.97,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.50,,,,100.13
Basaltic glass,NMNH 111240-52,ark:/65665/3cac895c6-9f33-4e82-9323-e1d5bfb8e18f,NHB005LIE,,14.06,,,,,11.12,,,,,,,,,,,,,2.23,9.83,,,0.02,,,0.19,,,,,6.95,0.22,2.62,,,0.20,,,,,,,,,,50.81,,,,,,1.85,,,,,,,,,,,,100.10
Basaltic glass,NMNH 113498-1,ark:/65665/38d1669b3-1c15-44d5-9a9d-b2a806957e6e,NHB005UHC,,12.49,,,,,9.30,,,,,,,,,,,,,1.87,11.62,,0.02,,,,0.82,,,,,5.08,0.15,2.66,,,0.38,,,,,,,,,,50.94,,,,,,4.06,,,,,,,,,,,,99.39
Basaltic glass,NMNH 113716-1,ark:/65665/381d0c006-58bc-4961-804a-e178125b1fa4,NHB005ZO1,,15.39,,,,,11.31,,,,,,,,,,,,,1.12,8.12,,0.18,,,,0.09,,,,,8.21,0.17,2.48,,,0.12,,,,,,0.12,,,,51.52,,,,,,1.30,,,,,,,,,,,100.13,100.07
Corning Glass A,NMNH 117218-4,ark:/65665/3f623683e-d1d4-454d-bce0-cd8e36ed01be,NHB006UFI,0.002,1.00,,0.20,0.56,0.001,5.03,,,0.10,,0.17,0.001,,1.17,,,,,1.09,,,,,,,2.87,,,0.01,,2.66,1.00,14.30,,0.02,0.13,,0.12,,,0.01,,0.10,1.75,,66.56,,0.19,0.10,,,0.79,,,,0.006,,,,0.044,0.005,,,99.99
Corning Glass B,NMNH 117218-1,ark:/65665/3be9ab1ec-5de6-40a1-ad92-f3f0da28e024,NHB006UFF,0.01,4.36,,0.02,0.12,0.005,8.56,,,0.20,,0.046,0.005,,2.66,,,,,0.34,,,,,,,1.00,,,0.001,,1.03,0.25,17.00,,0.10,0.82,,0.61,,,0.001,,0.50,0.46,,61.55,,0.04,0.019,,,0.089,,,,0.03,,,,0.19,0.025,,,100.04
Corning Glass C,NMNH 117218-2,ark:/65665/3f09e0099-89d1-4e98-9265-8bc2244992b5,NHB006UFG,0.002,0.87,,0.20,11.40,0.001,5.07,,,0.10,,0.18,0.001,,1.13,,,,,0.34,,,,,,,2.84,,,0.01,,2.76,0.82,1.07,,0.02,0.14,,36.70,,,0.01,,0.10,0.03,,34.87,,0.19,0.29,,,0.79,,,,0.006,,,,0.052,0.005,,,100.00
