# Smithsonian Microbeam Standards - preferred composition downloaded 19-Oct-2020 https://collections.nmnh.si.edu/media/?irn=13396554
Name,Catalog Number,EZID,IGSN,Ag2O,Al2O3,As2O3,B2O3,BaO,Bi2O3,CaO,Ce,Ce2O3,Cl,Co2,CoO,Cr2O3,Cs2O,CuO,Dy,Er,Eu,F,Fe2O3,FeO,Gd,H2O,H2O-,HfO2,Ho,K2O,La,La2O3,Li2O,Lu,MgO,MnO,Na2O,Nd,NiO,P2O5,PO4,PbO,Pr,REE2O3,Rb2O,S,SO3,Sb2O5,Sc,SiO2,Sm,SnO2,SrO,Tb,ThO2,TiO2,Tm,UO2,V2O3,V2O5,Y,Y2O3,Yb,ZnO,ZrO2,nB2O5,Subtotal,Total
Corning Glass D,NMNH 117218-3,ark:/65665/3907895d4-6218-4c60-9f90-c4e414a8a428,NHB006UFH,0.005,5.30,,0.10,0.51,0.0025,14.80,,,0.40,,0.023,0.0025,,0.38,,,,,0.52,,,,,,,11.30,,,0.005,,3.94,0.55,1.20,,0.05,3.93,,0.48,,,0.005,,0.30,0.97,,55.24,,0.10,0.057,,,0.38,,,,0.015,,,,0.10,0.0125,,,100.68
Corning Glass IR-V,NMNH 117083,ark:/65665/3f436bbd4-025a-4a27-a4d3-909e7acccb5a,NHB006QUF,,18.46,,4.44,0.016,,6.41,,0.760,,,0.001,0.747,,0.002,,,,,,0.744,,,,0.744,,0.792,,0.002,,,8.82,0.005,0.018,,0.011,,,0.007,,,,,,,,57.49,,,0.080,,0.012,0.787,,,0.001,,,0.007,,0.004,0.027,,,100.39
Corning Glass IR-W,NMNH 117084,ark:/65665/3e2154277-dabb-4a03-a4a5-8bdf5666e549,NHB006QUG,,18.12,,4.39,0.776,,6.39,,,,,0.734,0.002,0.710,0.700,,,,,,0.084,,,,0.003,,0.004,,0.783,,,8.71,0.637,<0.003,,0.005,<0.005,,0.006,,,,,,,,56.68,,,0.044,,0.838,0.008,,0.001,0.638,,,0.009,,0.008,0.007,,,100.295
Corning Glass IR-X,NMNH 117085,ark:/65665/3d1ed1ba3-c022-4a73-b039-542f6ffa5d47,NHB006QUH,,18.04,,4.35,0.017,,6.34,,,,,0.004,0.001,,0.005,,,,,,0.063,,,,0.019,,0.028,,0.004,,,8.57,0.005,,,0.730,<0.006,,0.754,,,0.494,,,,,57.23,,,0.762,,0.016,0.006,,0.754,0.003,,,0.851,,0.787,0.789,,,100.628
Rhyolitic glass,NMNH 72854,ark:/65665/374d6967a-bb7d-4b03-b16d-b07f58090a9b,NHB0046Q9,,12.06,,,,,0.50,,,0.13,,,,,,,,,,0.48,0.80,,0.12,,,,4.89,,,,,<0.10,0.03,3.75,,,<0.01,,,,,,,,,,76.71,,,,,,0.12,,,,,,,,,,,99.59,99.56
Tektite glass,USNM 2213,ark:/65665/3e9560d81-bb49-4344-a241-2e702e459d84,NHB003NXF,,11.34,,,,,2.66,,,0.00,,,,,,,,,0.01,0.64,4.32,,0.10,,,,1.88,,,,,1.51,0.11,1.06,,,0.00,,,,,,,,,,75.75,,,,,,0.50,,,,,,,,,,,,99.88
Grossular garnet,NMNH 87375,ark:/65665/358901a77-e042-436a-a69f-ba6afbeae6be,NHB004H8H,,22.27,,,,,14.39,,,,,,,,,,,,,2.77,13.76,,<0.01,,,,,,,,,6.55,0.59,,,,,,,,,,,,,,39.47,,,,,,0.39,,,,,,,,,,,,100.19
Arenal hornblende,NMNH 111356,http://n2t.net/ark:/65665/3cba07d18-2d6f-4182-921e-500f0e2933b6,NHB005MJY,,15.47,,,,,11.55,,,,,,,,,,,,,5.60,6.43,,1.21,,,,0.21,,,,,14.24,0.15,1.91,,,<0.01,,,,,,,,,,41.46,,,,,,1.41,,,,,,,,,,,,99.64
Kakanui hornblende,NMNH 143965,ark:/65665/3cba07d18-2d6f-4182-921e-500f0e2933b6,NHB005MJY,,14.90,,,,,10.30,,,,,,,,,,,,,3.30,7.95,,0.94,,,,2.05,,,,,12.80,0.09,2.60,,,0.00,,,,,,,,,,40.37,,,,,,4.72,,,,,,,,,,,,100.02
Hypersthene,USNM 746,ark:/65665/3292b8b31-1ddf-4e59-abfd-919e39b4d95d,NHB003NRC,,1.23,,,,,1.52,,,,,,0.75,,,,,,,,15.22,,0.00,,,,<0.05,,,,,26.79,0.49,<0.05,,,,,,,,,,,,,54.09,,,,,,0.16,,,,,,,,,,,,100.25
Ilmenite,NMNH 96189,ark:/65665/39c3920e0-e6a5-4957-b395-b2081bd9aaf3,NHB004XF6,,,,,,,,,,,,,,,,,,,,11.60,36.10,,,,,,,,,,,0.31,4.77,,,,,,,,,,,,,,,,,,,,45.70,,,,,,,,,,0.92,,99.40
Magnetite,NMNH 114887,ark:/65665/3960c1dd9-0fbb-4cb6-a129-24cfe24ad4c2,NHB0064J2,,,,,,,,,,,,,0.25,,,,,,,67.50,30.20,,,,,,,,,,,0.05,<0.01,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,98.16
Meionite,NMNH R6600,ark:/65665/351921442-0b1c-4bd0-bbbe-07862518c696,NHB003ZKG,,25.05,,,,,13.58,,,1.43,2.50,,,,,,,,,,0.17,,0.21,,,,0.94,,,,,,,5.20,,,,,,,,,,1.32,,,49.78,,,,,,,,,,,,,,,,,100.18,99.86
Microcline,NMNH 143966,ark:/65665/3f981cc3a-d76c-42c3-83b0-f5a57ef72a4b,NHB007H6P,,18.30,,,,,0.02,,,,,,,,,,,,,0.00,0.04,,,,,,15.14,,,,,0.03,0.04,1.30,,,,,,,,,,,,,64.24,,,,,,0.01,,,,,,,,,,,,99.12
San Carlos olivine,NMNH 111312-44,ark:/65665/37d5368b9-8582-4980-b2c1-8231f7965356,NHB005MFP,,,,,,,<0.05,,,,,,,,,,,,,,9.55,,,,,,,,,,,49.42,0.14,,,0.37,0.00,,,,,,,,,,40.81,,,,,,,,,,,,,,,,,,100.29
Springwater olivine,USNM 2566,ark:/65665/35fed5858-d26b-42d2-8881-e1cab612a3aa,NHB003NXN,,,,,,,,,,,,,0.02,,,,,,,,16.62,,<0.05,,,,,,,,,43.58,0.30,,,,,,,,,,,,,,38.95,,,,,,,,,,,,,,,,,,99.47
Omphacite,NMNH 110607,ark:/65665/36248a144-14e1-48db-bd21-019650ae08cf,NHB005DX9,,8.89,,,,,13.75,,,,,,,,,,,,,1.35,3.41,,0.02,,,,0.15,,,,,11.57,0.10,5.00,,,,,,,,,,,,,55.42,,,,,,0.37,,,,,,,,,,,,100.03
Osumulite,NMNH 143967,ark:/65665/3060e2e38-429b-4ab2-afda-2c35d592d976,NHB007H6Q,,22.60,,,,,<0.03,,,,,,,,,,,,,,6.38,,0.02,,,,4.00,,,,,5.83,,0.39,,,,,,,,,,,,,60.20,,,,,,0.18,,,,,,,,,,,,99.60
Plagioclase,NMNH 115900,ark:/65665/3265b0d8a-0414-420c-99e7-aa49258e04ec,NHB006C6A,,30.91,,,,,13.64,,,,,,,,,,,,,0.34,0.15,,0.05,,,,0.18,,,,,0.14,0.01,3.45,,,,,,,,,,,,,51.25,,,,,,0.05,,,,,,,,,,,,100.17
Pyrope,NMNH 143968,ark:/65665/35fca5e5a-f931-4649-ae0a-f5b92292d12c,NHB007H6R,,23.73,,,,,5.17,,,,,,,,,,,,,,10.68,,<0.01,,,,,,,,,18.51,0.28,,,,,,,,,,,,,,41.46,,,,,,0.47,,,,,,,,,,,,100.30
Quartz,NMNH R17701,ark:/65665/3c00ed255-1747-4b5a-ac27-3b114f7b6828,NHB003ZM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.99,,,,,,,,,,,,,,,,,,99.99
Siderite,NMNH R2460,ark:/65665/3f14bd5d0-5ec6-417f-92e0-bd85d7bbd0b7,NHB003ZK6,,,,,,,,,,,37.88,,,,,,,,,,59.08,,,,,,,,,,,,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.91
Strontianite,NMNH R10065,ark:/65665/3cc457453-fe56-4c52-bdac-ba32cc13e71b,NHB003ZL6,,,,,,,1.90,,,,30.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.67,,,,,,,,,,,,,,,99.80
Synthetic corundum,NMNH 135602,ark:/65665/31f7448ca-559b-4ab0-bd26-1217733d6b3b,NHB007H6K,,99.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.99
Cerium phosphate,NMNH 168484,ark:/65665/3180ffc9d-861f-4dbe-818d-6cb18ce445b2,NHB007H6V,,,,,,,,59.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.40,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00
Dysprosium phosphate,NMNH 168485,ark:/65665/3a08962d5-7896-4bc0-8463-1c7bc3c5519c,NHB007H6W,,,,,,,,,,,,,,,,63.11,,,,,,,,,,,,,,,,,,,,,,36.89,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00
Erbium phosphate,NMNH 168486,ark:/65665/36eb36226-3ba3-42ad-82d9-cbaad0dfdc13,NHB007H6X,,,,,,,,,,,,,,,,,63.78,,,,,,,,,,,,,,,,,,,,,36.22,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00
Europium phosphate,NMNH 168487,ark:/65665/3deb112ab-e7b1-40f5-a371-8624ae1ba534,NHB007H6Y,,,,,,,,,,,,,,,,,,61.54,,,,,,,,,,,,,,,,,,,,38.46,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00
Gadolinium phosphate,NMNH 168488,ark:/65665/3e957c339-b083-4aa2-a669-53861532ec64,NHB007H6Z,,,,,,,,,,,,,,,,,,,,,,62.34,,,,,,,,,,,,,,,,37.66,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00
Holmium phosphate,NMNH 168489,ark:/65665/327aa5963-9b5d-41dd-8463-b31b2b848b2a,NHB007H70,,,,,,,,,,,,,,,,,,,,,,,,,,63.45,,,,,,,,,,,,36.55,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00
Lanthanum phosphate,NMNH 168490,ark:/65665/3814c05e8-f009-4f8d-9419-1f8f5b075fb9,NHB007H71,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.39,,,,,,,,,,40.61,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00
Lutetium phosphate,NMNH 168491,ark:/65665/33d41ab20-9dee-4265-bb32-736428352330,NHB007H72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.81,,,,,,,35.19,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00
Neodymium phosphate,NMNH 168492,ark:/65665/3946c3d0b-f150-4589-b921-35fbee6f2443,NHB007H73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.30,,,39.70,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00
Praseodymium  phosphate,NMNH 168493,ark:/65665/3b6f25f66-5286-43c4-8cd6-53f2f6b81c08,NHB007H74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.27,,59.73,,,,,,,,,,,,,,,,,,,,,,,,,100.00
Samarium phosphate,NMNH 168494,ark:/65665/372f5e99c-9c76-42fd-9cd6-203eb2f7fda4,NHB007H75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.72,,,,,,,,,,61.28,,,,,,,,,,,,,,,,,100.00
Scandium phosphate,NMNH 168495,ark:/65665/327617a01-b9d7-478a-bae7-7e4434b61829,NHB007H76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.88,,,,,,,,32.12,,,,,,,,,,,,,,,,,,,100.00
Terbium phosphate,NMNH 168496,ark:/65665/343e2d294-dfb7-47e1-8b70-d06ec549701c,NHB007H77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.41,,,,,,,,,,,,,62.59,,,,,,,,,,,,,,100.00
Thulium phosphate,NMNH 168497,ark:/65665/387b84613-1161-4462-9e5a-f704fd7407de,NHB007H78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.99,,,,,,,,,,,,,,,,64.01,,,,,,,,,,,100.00
Ytterbium phosphate,NMNH 168498,ark:/65665/39ee79888-0c6c-4790-9474-cf18b2251d20,NHB007H79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.44,,,,,,,,,,,,,,,,,,,,,,64.56,,,,,100.00
Yttrium phosphate,NMNH 168499,ark:/65665/364da766d-3994-4a5c-88f1-d7650b84b582,NHB007H7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.65,,,,,,,,,,,,,,,,,,,,48.35,,,,,,,100.00
Zircon,NMNH 117288-3,ark:/65665/381a01459-c28e-49a9-8ce6-eac82ffe4323,NHB006XR1,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,32.40,,,,,,,,,,,,,,,66.32,,,99.78
