"Name","Density","H","He","Li","Be","B","C","N","O","F","Ne","Na","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","Ge","As","Se","Br","Kr","Rb","Sr","Y","Zr","Nb","Mo","Tc","Ru","Rh","Pd","Ag","Cd","In","Sn","Sb","Te","I","Xe","Cs","Ba","La","Ce","Pr","Nd","Pm","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Re","Os","Ir","Pt","Au","Hg","Tl","Pb","Bi","Po","At","Rn","Fr","Ra","Ac","Th","Pa","U","Np","Pu"
"12YWT",,,,,,,0.00049,0.00067,0.0017,,,,,,0.0009,,0.00003,,,,,,0.0035,0.0001,0.1215,0.002,0.837710023,,0.0026,0.0002,,,,,,,,,,0.002,,0.0001,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0263,,,,,,,,,,,,,,,,,,,,
"14YWT-SM11",,,,,,,0.000344,0.003903,0.00247,,,,,0.000036,0.0004,0.00003,0.000027,,,,,,0.0022,,0.136700004,0.0002,0.829446018,,0.0005,0.0001,,,,,,,,,,0.002,,0.00002,0.000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021600001,,,,,,,,,,,,,,,,,,,,
"ADM6005a",4,,,,,,,,0.3398,,,,,0.066399999,0.0405,,,,,,0.068300001,,0.0713,,,,,,,,0.105499998,,0.3037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Admiralty Brass",8.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.689999998,0.300000012,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alloy 800",,,,,,,,,,,,,,,,,,,,,,,,,0.209999993,,0.469999999,,0.319999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Almandine Garnet",,,,,,,,,0.385723382,,,,,0.108414583,0.169275627,,,,,,,,,,,,0.336586416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alumina",4.05,,,,,,,,0.470749319,,,,,0.529250681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aluminum Fluoride",,,,,,,,,,0.678697646,,,,0.321302354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ammonium Nitrate",1.725,0.050369699,,,,,,0.349977821,0.599652469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anhydrite",,,,,,,,,0.470084608,,,,,,,,0.235528558,,,,0.294386834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anorthite",2.6,,,,,,,,0.460071355,,,,,0.193967164,0.201903418,,,,,,0.144058064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antimony Telluride",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.388810843,0.611189187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apatite",,0.001890058,,,,,,,0.390020579,,,,,,,0.232324183,,,,,0.375765175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arenal Hornblende",,0.00135397,,,,,,,0.436120808,,,0.014169478,0.085631095,0.081875086,0.193798512,,,,,0.00174331,0.082546785,,0.008450734,,,0.001161686,0.089148529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arsenopyrite",,,,,,,,,,,,,,,,,0.196921229,,,,,,,,,,0.342961699,,,,,,,0.460117072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Au20Ag80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.774999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224000007,,,,,,,,,,,,,,,
"Au20Cu80",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.797999978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201000005,,,,,,,,,,,,,,,
"Au40Ag60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.598999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.400000006,,,,,,,,,,,,,,,
"Au60Ag40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.398999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.600000024,,,,,,,,,,,,,,,
"Au60Cu40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.395999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.603600025,,,,,,,,,,,,,,,
"Au80Ag20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.800000012,,,,,,,,,,,,,,,
"Au80Cu20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.800999999,,,,,,,,,,,,,,,
"BAM CRM",,,,,,,0.201000005,,0.002,,,,,0.059,,,,,0.011,,,,,,,0.437999994,,,,0.118000001,,,,,,,,,,,0.171000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BAM EDS-TM002",,,,,,,0.200000003,,,,,,,0.059999999,,,,,,,,,,,,0.409999996,,,,0.140000001,,,,,,,,,,,0.189999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barite",,,,,,,,,0.274209291,,,,,,,,0.137388304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58840239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benitoite",,,,,,,,,0.348279864,,,,,,0.203791261,,,,,,,,0.11577595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.332152933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Biotite",,0.004,,,,,,,0.432999998,0.0026,,,0.116700001,0.081,0.178200006,,,,,0.083300002,0.0015,,0.01,,,0.0009,0.082199998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bismuth Silicide",,,,,,,,,0.06322252,,,,,,0.110981412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.825796068,,,,,,,,,,,
"Boracite",2.97,,,,,0.19303526,,,0.530542016,,,,0.185990006,,,,,0.090432748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bustamite",,,,,,,,,0.383899987,,,0.0004,,0.0002,0.224600002,,,,,0.0005,0.135600001,,,,,0.188299999,0.063199997,,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caesium Iodide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.488453001,,0.511546969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caesium Nitrate",,,,,,,,0.085978098,0.098209992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.815811932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cassiterite",,,,,,,,,0.212322041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.787677944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cerium Alumate",,,,,,,,,,,,,,0.278046846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.721953154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cerium Fluoride",,,,,,,,,,0.213326439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.786673546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cherry Blossum",14,,,,,,,,0.140000001,,,,,,,,,,,,,,,,0.090000004,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.699999988,,
"Chlorite",,0.014578227,,,,,,,0.520662427,,,,0.263649493,0.048780557,0.152329311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chrome Carbide",,,,,,,0.071492687,,,,,,,,,,,,,,,,,,0.928507328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chrome Diopsite",,,,,,,,,0.439200014,,,0.0033,0.103399999,,0.255199999,,,,,,0.182300001,,0.0006,,0.0034,,0.0108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chromite",,,,,,,,,0.327699989,,,,0.091700003,0.052499998,,,,,,,0.0009,,,,0.413899988,0.0009,0.101400003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chromium Nitride",,,,,,,,0.212213725,,,,,,,,,,,,,,,,,0.787786305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chromium Oxide",,,,,,,,,0.315797567,,,,,,,,,,,,,,,,0.684202433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cinnabar",,,,,,,,,,,,,,,,,0.137822092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.862177908,,,,,,,,,,,,,,
