"Name","Density","H","He","Li","Be","B","C","N","O","F","Ne","Na","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","Ge","As","Se","Br","Kr","Rb","Sr","Y","Zr","Nb","Mo","Tc","Ru","Rh","Pd","Ag","Cd","In","Sn","Sb","Te","I","Xe","Cs","Ba","La","Ce","Pr","Nd","Pm","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Re","Os","Ir","Pt","Au","Hg","Tl","Pb","Bi","Po","At","Rn","Fr","Ra","Ac","Th","Pa","U","Np","Pu"
"Cobalt (II,III) Oxide",,,,,,,,,0.265774518,,,,,,,,,,,,,,,,,,,0.734225512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cobalt Oxide",,,,,,,,,0.213517785,,,,,,,,,,,,,,,,,,,0.786482215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cobalt Silicide",,,,,,,,,,,,,,,0.488002151,,,,,,,,,,,,,0.511997819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Copper Iodide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333662391,,,,,,,,,,,,,,,,,,,,,,,,0.666337609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Copper Sulphate",,,,,,,,,0.400965869,,,,,,,,0.200897694,,,,,,,,,,,,,0.398136437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corning A",,,,,,,,,0.440699995,,,0.105999999,0.016000001,0.00529,0.311199993,0.00057,0.0004,0.00069,,0.023800001,0.035950001,,0.00474,,,0.00774,0.00762,0.00134,,0.00935,0.00035,,,,,,,,0.00085,,,,,,,,,,,,0.0015,0.01317,,,,,0.00502,,,,,,,,,,,,,,,,,,,,,,,,,,0.00111,,,,,,,,,,,,
"Corning B",,,,0.00000465,,0.0000621,,,0.440192729,,,0.126115769,0.00621127,0.023075331,0.287706196,0.003578649,0.00200248,0.002,,0.008301478,0.061177529,,0.000533,0.000168,0.0000342,0.001936144,0.002378047,0.000362,0.000786,0.021249797,0.001526588,,,,,,,0.00000914,0.000161,,0.000185,,,,,,,0.0000931,,,0.000315,0.003462544,,,,,0.001074782,,,,,,,,,,,,,,,,,,,,,,,,,,0.005662739,0.0000448,,,,,,,,,,,
"Corning C",,,,0.0000465,,0.000621,,,0.273649931,,,0.007937875,0.016643791,0.004604481,0.162994564,0.000611,0.0004,0.001,,0.023576196,0.036234822,,0.004734809,0.0000336,0.00000684,0.006350551,0.002378047,0.001415668,0.000157,0.009027169,0.000418,,,,,,,0.0000914,0.002452224,,0.000037,,,,,,,0.0000186,,,0.001496588,0.000226,,,,,0.102104254,,,,,,,,,,,,,,,,,,,,,,,,,,0.340692669,0.00000897,,,,,,,,,,,
"Corning D",,,,0.0000232,,0.000311,,,0.433093995,,,0.00890229,0.023759615,0.028050287,0.258211046,0.017151332,0.001201488,0.004,,0.093806699,0.105774231,,0.002277503,0.000084,0.0000171,0.004259516,0.003637013,0.000181,0.000393,0.003035685,0.000803,,,,,,,0.0000457,0.000482,,0.0000925,,,,,,,0.0000465,,,0.000788,0.007301453,,,,,0.004567822,,,,,,,,,,,,,,,,,,,,,,,,,,0.004455926,0.0000224,,,,,,,,,,,
"Cryolite",,,,,,,,,,0.542958081,,0.328520954,,0.128520936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DW6701",,,,,,,,,0.380100012,,,,,0.161500007,0.126000002,,,,,,0.179800004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037999999,0.038699999,0.037799999,,,,0.0381,,,,,,,,,,,,,,,,,,,,,,,,,
"DW6702",,,,,,,,,0.382800013,,,,,0.162100002,0.126499996,,,,,,0.180500001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036499999,,0.036699999,,,,,,,,0.0374,0.037500001,,,,,,,,,,,,,,,,,,,,,,,
"DW6703",,,,,,,,,0.388900012,,,,,0.162499994,0.126900002,,,,,,0.180999994,,,,,,,,,,,,,,,,,,,0.032099999,,,,,,,,,,,,,,,,,,0.036499999,0.034200002,0.037900001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DW6704",,,,,,,,,0.394300014,,,,,0.169699997,0.132400006,,,,,,0.188999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037999999,0.0385,0.0381,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diopside",,,,,,,,,0.443298191,,,,0.112237148,,0.259389967,,,,,,0.185074702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dolomite",,,,,,,0.130267337,,0.520585597,,,,0.131805286,,,,,,,,0.217341796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dysprosium Fluoride",,,,,,,,,,0.262048602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.737951398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Enstatite",,,,,,,,,0.478123546,,,,0.242108926,,0.279767543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Erbium Fluoride",,,,,,,,,,0.25415045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74584955,,,,,,,,,,,,,,,,,,,,,,,,,,
"Europium Fluoride",,,,,,,,,,0.272753388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.727246642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Europium Oxide",,,,,,,,,0.136387125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86361289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fayalite",,,,,,,,,0.314063042,,,,,,0.137827322,,,,,,,,,,,,0.548109651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fe-Cr stainless",8,,,,,,,,,,,,,,,,,,,,,,,,0.150000006,,0.850000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ferrous Oxide",,,,,,,,,0.222695157,,,,,,,,,,,,,,,,,,0.777304828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fluorapatite",3.15,,,,,,,,0.380709916,0.037671864,,,,,,0.184257179,,,,,0.39736104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fluorite",,,,,,,,,,0.486666501,,,,,,,,,,,0.513333499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forsterite",3.3,,,,,,,,0.45487377,,,,0.345503807,,0.199622437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gadolinium Gallium Garnet",,,,,,,,,0.18964915,,,,,,,,,,,,,,,,,,,,,,,0.344359487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.465991378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gadolinium Oxide",,,,,,,,,0.132409483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.867590487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gallium Nitride",,,,,,,,0.167284727,,,,,,,,,,,,,,,,,,,,,,,,0.832715273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gallium Selenide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.370545745,,,0.629454255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gallium Sulphide",,,,,,,,,,,,,,,,,0.315017492,,,,,,,,,,,,,,,0.684982538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hafnium Oxide",,,,,,,,,0.152021393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.847978592,,,,,,,,,,,,,,,,,,,,,,
"Hedenbergite",,,,,,,,,0.386941224,,,,,,0.226413444,,,,,,0.161545947,,,,,,0.2250994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hessite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.628352821,,,,,0.371647179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hf-oxide",4.7,0.011821022,,,,,,,0.333581179,,,,,,,,0.073121846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.581475973,,,,,,,,,,,,,,,,,,,,,,
"IN 100 inclusion",,,,,,,,,,,,,,0.001,,,,,,,,,0.634000003,0.037999999,0.012,,,0.012,0.023,,,,,,,,,,,,,,0.280999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IN 100 matrix",,,,,,,,,,,,,,0.046999998,,,,,,,,,0.041000001,0.01,0.094999999,,,0.158000007,0.621999979,,,,,,,,,,,,,,0.026000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ilmenite",4.75,,,,,,,,0.316380829,,,,,,,,,,,,,,0.315516025,,,,0.368103147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iron Phosphide",,,,,,,,,,,,,,,,0.217110217,,,,,,,,,,,0.782889783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iron Silicide",,,,,,,,,,,,,,,0.501455128,,,,,,,,,,,,0.498544842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iron carbide",,,,,,,0.066894948,,,,,,,,,,,,,,,,,,,,0.933105052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iron-Chrome",,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.99000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jadeite",,,,,,,,,0.474903613,,,0.113732643,,0.13348031,0.27788344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jadeite-EV",,,,,,,,,0.474903613,,,0.113732643,,0.13348031,0.27788344,,,,,,,,,,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Juan de Fuca",3,0.0000224,,,,,,,0.440039277,,,0.019436667,0.040463708,0.074412644,0.237503678,0.000873,,,,0.001577281,0.079473615,,0.011087843,,,0.001703806,0.092006251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K1001",,,,,,,,,0.394699991,,,0.0167,0.0136,0.089199997,0.210199997,,,,,0.0187,0.067500003,,,,,,,,,,,,,,,,,0.0206,0.100500003,,,,,,,,,,,,,,,,,,,,,0.019200001,0.019300001,,,,,,,,0.0197,,,,,,,,,,,,,,0.0104,,,,,,,,,,,,
"K1008",,,,,,,,,0.386799991,,,0.0167,,0.089199997,0.210199997,,,,,,0.067500003,,,,,,,,,,,,,,,,,0.0206,0.100500003,,0.0083,,,,,,,,,,,,,,,0.021199999,0.020199999,,,,,,,,,,,0.0196,,0.0197,0.0198,,,,,,,,,,,,,,,,,,,,,,,,
"K1010",,,,,,,,,0.389600009,,,,,0.089199997,0.210199997,,,,,0.0187,0.067500003,,,,,,,,,,,,0.0156,,,,,0.0206,0.100500003,,,,,,,,,,,,,,0.009,,,0.021199999,,0.019200001,,,,,,0.019400001,0.0195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K1012",,,,,,,,,0.393400013,,,0.0148,0.090499997,0.079400003,0.187000006,0.0063,,,,0.0166,0.004,,,,,,,,,,,0.0149,,,0.0071,,,,,,,,,,,,,,,0.0165,,,,,,0.0189,0.134299994,,0.0163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K1013",,,,,,,,,0.525900006,,,,0.0524,0.058200002,,0.333999991,,,,,,,0.0022,,0.0023,,,,0.0026,,,,0.0033,,,,,,,,0.0041,,,,,,,,,,,,,,,,0.0061,,,,,,,0.0067,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011,,0.0013,,
"K1053",,,,,,,,,0.161300004,0.0039,,,,,0.093500003,,,0.0064,,,,,,,,,,,,,,,,,,0.0109,,,,,,,,,,,,,,,,,,0.0137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.710200012,,,,,,,,,,,,
"K1070",,,,,,,,,0.343100011,,,,0.075400002,,0.187000006,,,,,,0.089299999,,,,,,,,,,0.100400001,,,,,,,,,,,,,,,,,,,,,,,,,,0.112000003,,,,,,,,,,,,,,,,,,,,,,,,,,0.092799999,,,,,,,,,,,,
"K1080",,,,0.027899999,,0.0062,,,0.416500002,,,,0.0121,0.079400003,0.187000006,,,,,,0.107199997,,0.012,,,,,,,,,,,,,,,,0.126800001,,0.0074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0176,,,,,,,,,,,,,,,,,,,,,,,
"K1092",,,,0.092900001,,,,,0.50940001,,,,,0.052900001,0.303900003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040899999,,,,,,,,,,,,,,,,,,,,,
"K1098",,,,0.0232,,0.202000007,,,0.576099992,,,,,0.105800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.092799999,,,,,,,,,,,,
"K1132",,,,0.0232,,,,,0.413399994,,,,,0.079400003,0.2139,,,,,,0.107199997,,,,0.0051,,,,0.0118,,,,,,,,,,,,,,0.0167,,,,,,,,,,,,,,0.134299994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K1228",,,,0.0139,,,,,0.37529999,,,0.022299999,,0.079400003,0.187000006,,,,,0.024900001,0.107199997,,,,,,,,,,,,,,,,,0.0274,,,,,,,,,,,,,,,,,,0.0283,0.134299994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K1229",,,,,,,,,0.4102,,,,0.0177,0.093400002,0.219999999,,,,,,0.105099998,,,,,,,,,,,,,,,,,,0.074600004,,,,,,,,,,,,,,,,,,0.079000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
