"Z","10 keV","20 keV","30 keV","40 keV","49 keV"
6,0.069,0.06,0.052,0.054,0.052
12,0.145,0.14,0.136,0.132,0.13
13,,,0.149,,
14,0.174,0.164,0.159,0.153,0.15
22,0.262,0.253,0.243,0.245,0.243
24,0.273,0.268,0.265,0.259,0.256
25,0.292,0.286,0.284,0.277,0.276
26,0.289,0.287,0.275,0.276,0.282
27,0.309,0.302,0.302,0.297,0.292
28,0.307,0.301,0.298,0.289,0.286
29,0.318,0.309,0.306,0.303,0.297
40,0.376,0.379,0.379,0.381,0.376
42,0.384,0.382,0.386,0.384,0.377
46,0.403,0.405,0.397,0.402,0.398
47,0.397,0.408,0.407,0.403,0.402
50,,0.394,0.416,0.417,0.415
51,0.42,0.423,0.423,0.426,0.427
52,0.425,0.427,0.427,0.426,0.431
73,0.481,0.491,0.487,0.501,0.503
74,0.482,0.494,0.489,0.499,0.506
78,0.486,0.504,0.499,0.503,0.51
79,0.483,0.506,0.512,0.51,0.511
83,0.498,0.513,0.516,0.519,0.521
92,0.495,0.52,0.527,0.527,0.53
