"ZZ","II","NN","OO","PP"
6, 1, 1, 3, 0.00056149
6, 1, 1, 4, 0.0011206
7, 1, 1, 3, 0.0010942
7, 1, 1, 4, 0.00218181
8, 1, 1, 3, 0.00190768
8, 1, 1, 4, 0.00380027
9, 1, 1, 3, 0.00306841
9, 1, 1, 4, 0.00610744
10, 1, 1, 3, 0.00464329
10, 1, 1, 4, 0.00922967
11, 1, 2, 3, 1.688e-5
11, 1, 2, 4, 3.462e-5
11, 1, 1, 3, 0.00668996
11, 1, 1, 4, 0.01329589
11, 2, 2, 3, 3.803e-5
11, 2, 2, 4, 7.799e-5
12, 1, 3, 4, 0.0
12, 1, 2, 3, 2.503e-5
12, 1, 2, 4, 5.204e-5
12, 1, 4, 5, 4.09e-6
12, 1, 3, 5, 2.21e-6
12, 1, 1, 3, 0.00927327
12, 1, 1, 4, 0.01841891
12, 2, 3, 4, 0.0
12, 2, 2, 3, 5.793e-5
12, 2, 2, 4, 0.00012042
12, 2, 4, 5, 2.09e-6
12, 2, 3, 5, 1.13e-6
12, 3, 3, 4, 0.0
12, 3, 4, 5, 0.0
12, 3, 3, 5, 3.41e-6
12, 4, 4, 5, 3.18e-6
13, 1, 3, 4, 0.0
13, 1, 2, 3, 3.31e-5
13, 1, 2, 4, 7.145e-5
13, 1, 4, 5, 1.899e-5
13, 1, 3, 5, 1.027e-5
13, 1, 4, 6, 0.0
13, 1, 4, 7, 0.0
13, 1, 3, 7, 0.0
13, 1, 2, 6, 8.7e-7
13, 1, 2, 7, 1.69e-6
13, 1, 1, 3, 0.01236989
13, 1, 1, 4, 0.02455279
13, 1, 1, 6, 7.559e-5
13, 1, 1, 7, 0.00015004
13, 2, 3, 4, 0.0
13, 2, 2, 3, 7.901e-5
13, 2, 2, 4, 0.00017053
13, 2, 4, 5, 9.77e-6
13, 2, 3, 5, 5.29e-6
13, 2, 4, 6, 0.0
13, 2, 4, 7, 0.0
13, 2, 3, 7, 0.0
13, 2, 2, 6, 2.08e-6
13, 2, 2, 7, 4.03e-6
13, 3, 3, 4, 0.0
13, 3, 4, 5, 0.0
13, 3, 3, 5, 1.605e-5
13, 3, 4, 6, 0.0
13, 3, 4, 7, 0.0
13, 3, 3, 7, 0.0
13, 4, 4, 5, 1.5e-5
13, 4, 4, 6, 0.0
13, 4, 4, 7, 0.0
14, 1, 3, 4, 0.0
14, 1, 2, 3, 4.095e-5
14, 1, 2, 4, 9.17e-5
14, 1, 4, 5, 5.494e-5
14, 1, 3, 5, 2.971e-5
14, 1, 4, 6, 0.0
14, 1, 4, 7, 0.0
14, 1, 3, 7, 0.0
14, 1, 2, 6, 2.37e-6
14, 1, 2, 7, 4.36e-6
14, 1, 1, 3, 0.01597912
14, 1, 1, 4, 0.03170523
14, 1, 1, 6, 0.0002724
14, 1, 1, 7, 0.00054044
14, 2, 3, 4, 0.0
14, 2, 2, 3, 0.00010092
14, 2, 2, 4, 0.00022602
14, 2, 4, 5, 2.854e-5
14, 2, 3, 5, 1.553e-5
14, 2, 4, 6, 0.0
14, 2, 4, 7, 0.0
14, 2, 3, 7, 0.0
14, 2, 2, 6, 5.83e-6
14, 2, 2, 7, 1.073e-5
14, 3, 3, 4, 0.0
14, 3, 4, 5, 0.0
14, 3, 3, 5, 4.72e-5
14, 3, 4, 6, 0.0
14, 3, 4, 7, 0.0
14, 3, 3, 7, 0.0
14, 4, 4, 5, 4.421e-5
14, 4, 4, 6, 0.0
14, 4, 4, 7, 0.0
15, 1, 3, 4, 0.0
15, 1, 2, 3, 4.663e-5
