"ZZ","II","NN","OO","PP"
15, 1, 2, 4, 0.00010946
15, 1, 4, 5, 0.00012269
15, 1, 3, 5, 6.632e-5
15, 1, 4, 6, 1.0e-8
15, 1, 4, 7, 1.0e-8
15, 1, 3, 7, 1.0e-8
15, 1, 2, 6, 5.61e-6
15, 1, 2, 7, 9.83e-6
15, 1, 1, 3, 0.02012199
15, 1, 1, 4, 0.03987489
15, 1, 1, 6, 0.00062147
15, 1, 1, 7, 0.0012321
15, 2, 3, 4, 0.0
15, 2, 2, 3, 0.0001188
15, 2, 2, 4, 0.00027887
15, 2, 4, 5, 6.463e-5
15, 2, 3, 5, 3.522e-5
15, 2, 4, 6, 0.0
15, 2, 4, 7, 0.0
15, 2, 3, 7, 0.0
15, 2, 2, 6, 1.43e-5
15, 2, 2, 7, 2.505e-5
15, 3, 3, 4, 0.0
15, 3, 4, 5, 0.0
15, 3, 3, 5, 0.00010731
15, 3, 4, 6, 0.0
15, 3, 4, 7, 0.0
15, 3, 3, 7, 1.0e-8
15, 4, 4, 5, 0.00010072
15, 4, 4, 6, 0.0
15, 4, 4, 7, 0.0
16, 1, 3, 4, 0.0
16, 1, 2, 3, 4.94e-5
16, 1, 2, 4, 0.00012116
16, 1, 4, 5, 0.00023244
16, 1, 3, 5, 0.00012582
16, 1, 4, 6, 2.0e-8
16, 1, 4, 7, 2.0e-8
16, 1, 3, 7, 2.0e-8
16, 1, 2, 6, 1.161e-5
16, 1, 2, 7, 1.955e-5
16, 1, 1, 3, 0.02478221
16, 1, 1, 4, 0.04906441
16, 1, 1, 6, 0.00115591
16, 1, 1, 7, 0.00228902
16, 2, 3, 4, 0.0
16, 2, 2, 3, 0.00013009
16, 2, 2, 4, 0.00031909
16, 2, 4, 5, 0.00012425
16, 2, 3, 5, 6.83e-5
16, 2, 4, 6, 1.0e-8
16, 2, 4, 7, 1.0e-8
16, 2, 3, 7, 1.0e-8
16, 2, 2, 6, 3.058e-5
16, 2, 2, 7, 5.148e-5
16, 3, 3, 4, 0.0
16, 3, 4, 5, 0.0
16, 3, 3, 5, 0.00020743
16, 3, 4, 6, 0.0
16, 3, 4, 7, 0.0
16, 3, 3, 7, 3.0e-8
16, 4, 4, 5, 0.00019508
16, 4, 4, 6, 2.0e-8
16, 4, 4, 7, 2.0e-8
17, 1, 3, 4, 0.0
17, 1, 2, 3, 4.842e-5
17, 1, 2, 4, 0.00012403
17, 1, 4, 5, 0.0003934
17, 1, 3, 5, 0.00021293
17, 1, 4, 6, 5.0e-8
17, 1, 4, 7, 5.0e-8
17, 1, 3, 7, 6.0e-8
17, 1, 2, 6, 2.115e-5
17, 1, 2, 7, 3.422e-5
17, 1, 1, 3, 0.02994731
17, 1, 1, 4, 0.05923571
17, 1, 1, 6, 0.00190852
17, 1, 1, 7, 0.00377764
17, 2, 3, 4, 0.0
17, 2, 2, 3, 0.00013224
17, 2, 2, 4, 0.0003387
17, 2, 4, 5, 0.00021443
17, 2, 3, 5, 0.00011803
17, 2, 4, 6, 3.0e-8
17, 2, 4, 7, 3.0e-8
17, 2, 3, 7, 3.0e-8
17, 2, 2, 6, 5.776e-5
17, 2, 2, 7, 9.346e-5
17, 3, 3, 4, 0.0
17, 3, 4, 5, 0.0
17, 3, 3, 5, 0.00035857
17, 3, 4, 6, 0.0
17, 3, 4, 7, 0.0
17, 3, 3, 7, 1.0e-7
17, 4, 4, 5, 0.00033784
17, 4, 4, 6, 5.0e-8
17, 4, 4, 7, 5.0e-8
18, 1, 3, 4, 0.0
18, 1, 2, 3, 4.372e-5
18, 1, 2, 4, 0.00011775
18, 1, 4, 5, 0.00061184
18, 1, 3, 5, 0.00033152
18, 1, 4, 6, 1.3e-7
18, 1, 4, 7, 1.3e-7
18, 1, 3, 7, 1.4e-7
18, 1, 2, 6, 3.418e-5
18, 1, 2, 7, 5.39e-5
18, 1, 1, 3, 0.0355868
18, 1, 1, 4, 0.07033359
18, 1, 1, 6, 0.00291258
18, 1, 1, 7, 0.00575646
18, 2, 3, 4, 0.0
18, 2, 2, 3, 0.00012386
18, 2, 2, 4, 0.00033361
18, 2, 4, 5, 0.00033868
18, 2, 3, 5, 0.00018759
18, 2, 4, 6, 7.0e-8
18, 2, 4, 7, 7.0e-8
18, 2, 3, 7, 8.0e-8
18, 2, 2, 6, 9.684e-5
18, 2, 2, 7, 0.0001527
18, 3, 3, 4, 0.0
18, 3, 4, 5, 0.0
18, 3, 3, 5, 0.00057135
18, 3, 4, 6, 0.0
18, 3, 4, 7, 0.0
18, 3, 3, 7, 2.5e-7
18, 4, 4, 5, 0.00053918
18, 4, 4, 6, 1.1e-7
18, 4, 4, 7, 1.1e-7
19, 1, 3, 4, 0.0
19, 1, 2, 3, 3.793e-5
19, 1, 2, 4, 0.00010715
19, 1, 4, 5, 0.00087068
19, 1, 3, 5, 0.00047316
19, 1, 4, 6, 2.5e-7
19, 1, 4, 7, 2.4e-7
19, 1, 3, 7, 2.7e-7
19, 1, 4, 10, 2.123e-5
19, 1, 3, 10, 1.155e-5
19, 1, 2, 6, 5.023e-5
19, 1, 2, 7, 7.69e-5
19, 1, 1, 3, 0.04185991
19, 1, 1, 4, 0.08265181
19, 1, 1, 6, 0.00399739
19, 1, 1, 7, 0.00791008
19, 2, 3, 4, 0.0
19, 2, 2, 3, 0.00011119
19, 2, 2, 4, 0.00031407
19, 2, 4, 5, 0.00047904
19, 2, 3, 5, 0.0002693
19, 2, 4, 6, 1.4e-7
19, 2, 4, 7, 1.3e-7
19, 2, 3, 7, 1.6e-7
19, 2, 4, 10, 1.168e-5
19, 2, 3, 10, 6.57e-6
19, 2, 2, 6, 0.00014723
19, 2, 2, 7, 0.0002254
19, 3, 3, 4, 0.0
19, 3, 4, 5, 0.0
19, 3, 3, 5, 0.00083541
19, 3, 4, 6, 0.0
19, 3, 4, 7, 0.0
19, 3, 3, 7, 4.8e-7
19, 3, 4, 10, 0.0
19, 3, 3, 10, 2.039e-5
19, 4, 4, 5, 0.00078947
19, 4, 4, 6, 2.2e-7
19, 4, 4, 7, 2.2e-7
19, 4, 4, 10, 1.925e-5
20, 1, 3, 4, 0.0
20, 1, 2, 3, 3.104e-5
20, 1, 2, 4, 9.173e-5
20, 1, 4, 5, 0.00121626
20, 1, 3, 5, 0.00065919
20, 1, 4, 6, 4.4e-7
20, 1, 4, 7, 4.3e-7
20, 1, 3, 7, 4.8e-7
20, 1, 4, 10, 2.577e-5
20, 1, 3, 10, 1.398e-5
20, 1, 2, 6, 6.721e-5
20, 1, 2, 7, 0.00010079
20, 1, 1, 3, 0.0487196
20, 1, 1, 4, 0.0961323
20, 1, 1, 6, 0.00517776
20, 1, 1, 7, 0.0102489
20, 2, 3, 4, 0.0
20, 2, 2, 3, 9.424e-5
20, 2, 2, 4, 0.0002785
20, 2, 4, 5, 0.00067379
20, 2, 3, 5, 0.00037292
20, 2, 4, 6, 2.4e-7
20, 2, 4, 7, 2.4e-7
20, 2, 3, 7, 2.7e-7
20, 2, 4, 10, 1.427e-5
20, 2, 3, 10, 7.91e-6
20, 2, 2, 6, 0.00020406
20, 2, 2, 7, 0.00030602
20, 3, 3, 4, 0.0
20, 3, 4, 5, 0.0
20, 3, 3, 5, 0.00119571
20, 3, 4, 6, 0.0
20, 3, 4, 7, 0.0
20, 3, 3, 7, 8.7e-7
20, 3, 4, 10, 0.0
20, 3, 3, 10, 2.536e-5
20, 4, 4, 5, 0.0011313
20, 4, 4, 6, 4.1e-7
20, 4, 4, 7, 4.0e-7
20, 4, 4, 10, 2.397e-5
21, 1, 3, 4, 0.0
21, 1, 5, 6, 3.8e-7
21, 1, 5, 7, 8.3e-7
21, 1, 7, 8, 0.0
21, 1, 7, 9, 0.0
21, 1, 6, 8, 0.0
21, 1, 7, 10, 0.0
21, 1, 6, 10, 0.0
21, 1, 2, 3, 2.49e-5
21, 1, 2, 4, 7.68e-5
21, 1, 4, 5, 0.00155206
21, 1, 3, 5, 0.00084019
21, 1, 4, 6, 7.0e-7
21, 1, 4, 7, 6.8e-7
21, 1, 3, 7, 7.7e-7
21, 1, 4, 8, 6.87e-6
21, 1, 4, 9, 8.176e-5
21, 1, 4, 10, 3.03e-5
21, 1, 3, 8, 5.021e-5
21, 1, 3, 10, 1.645e-5
21, 1, 2, 6, 8.37e-5
21, 1, 2, 7, 0.00012393
21, 1, 2, 8, 4.0e-8
21, 1, 2, 9, 7.0e-8
21, 1, 1, 3, 0.05638411
21, 1, 1, 4, 0.11113001
21, 1, 1, 6, 0.00622301
21, 1, 1, 7, 0.012304
21, 1, 1, 8, 2.0e-7
21, 1, 1, 9, 2.9e-7
21, 2, 3, 4, 0.0
21, 2, 5, 6, 4.6e-7
21, 2, 5, 7, 9.9e-7
21, 2, 7, 8, 0.0
21, 2, 7, 9, 0.0
21, 2, 6, 8, 0.0
21, 2, 7, 10, 0.0
21, 2, 6, 10, 0.0
21, 2, 2, 3, 7.81e-5
21, 2, 2, 4, 0.00024092
21, 2, 4, 5, 0.00085918
21, 2, 3, 5, 0.00047658
21, 2, 4, 6, 3.9e-7
21, 2, 4, 7, 3.8e-7
21, 2, 3, 7, 4.4e-7
21, 2, 4, 8, 3.8e-6
21, 2, 4, 9, 4.526e-5
21, 2, 4, 10, 1.677e-5
21, 2, 3, 8, 2.848e-5
21, 2, 3, 10, 9.33e-6
21, 2, 2, 6, 0.00026257
21, 2, 2, 7, 0.00038878
21, 2, 2, 8, 1.4e-7
21, 2, 2, 9, 2.1e-7
21, 3, 3, 4, 0.0
21, 3, 5, 6, 1.6e-7
21, 3, 5, 7, 3.5e-7
21, 3, 7, 8, 0.0
21, 3, 7, 9, 0.0
21, 3, 6, 8, 0.0
21, 3, 7, 10, 0.0
21, 3, 6, 10, 0.0
21, 3, 4, 5, 0.0
21, 3, 3, 5, 0.00155229
21, 3, 4, 6, 0.0
21, 3, 4, 7, 0.0
21, 3, 3, 7, 1.42e-6
21, 3, 4, 8, 0.0
21, 3, 4, 9, 0.0
21, 3, 4, 10, 0.0
21, 3, 3, 8, 9.277e-5
21, 3, 3, 10, 3.039e-5
21, 4, 5, 6, 1.6e-7
21, 4, 5, 7, 3.5e-7
21, 4, 7, 8, 0.0
21, 4, 7, 9, 0.0
21, 4, 6, 8, 0.0
21, 4, 7, 10, 0.0
21, 4, 6, 10, 0.0
21, 4, 4, 5, 0.00147392
21, 4, 4, 6, 6.6e-7
21, 4, 4, 7, 6.5e-7
21, 4, 4, 8, 6.52e-6
21, 4, 4, 9, 7.764e-5
21, 4, 4, 10, 2.878e-5
21, 5, 5, 6, 7.3e-7
21, 5, 5, 7, 1.58e-6
21, 5, 7, 8, 0.0
21, 5, 7, 9, 0.0
21, 5, 6, 8, 0.0
21, 5, 7, 10, 0.0
21, 5, 6, 10, 0.0
21, 6, 6, 8, 0.0
21, 6, 6, 10, 0.0
21, 7, 7, 8, 0.0
21, 7, 7, 9, 0.0
21, 7, 7, 10, 0.0
22, 1, 3, 4, 0.0
22, 1, 5, 6, 5.6e-7
22, 1, 5, 7, 1.22e-6
22, 1, 7, 8, 1.0e-8
22, 1, 7, 9, 8.0e-8
22, 1, 6, 8, 5.0e-8
22, 1, 7, 10, 1.0e-8
22, 1, 6, 10, 1.0e-8
22, 1, 2, 3, 1.958e-5
22, 1, 2, 4, 6.293e-5
22, 1, 4, 5, 0.00197664
22, 1, 3, 5, 0.00107025
22, 1, 4, 6, 1.11e-6
22, 1, 4, 7, 1.09e-6
22, 1, 3, 7, 1.2e-6
22, 1, 4, 8, 1.282e-5
22, 1, 4, 9, 0.00015063
22, 1, 4, 10, 3.72e-5
22, 1, 3, 8, 8.948e-5
22, 1, 3, 10, 2.003e-5
22, 1, 2, 6, 9.923e-5
22, 1, 2, 7, 0.00014519
22, 1, 2, 8, 9.0e-8
22, 1, 2, 9, 1.4e-7
22, 1, 1, 3, 0.06459827
22, 1, 1, 4, 0.12714013
22, 1, 1, 6, 0.00732673
22, 1, 1, 7, 0.01447501
22, 1, 1, 8, 5.9e-7
22, 1, 1, 9, 8.7e-7
22, 2, 3, 4, 0.0
22, 2, 5, 6, 6.7e-7
22, 2, 5, 7, 1.47e-6
22, 2, 7, 8, 1.0e-8
22, 2, 7, 9, 6.0e-8
22, 2, 6, 8, 4.0e-8
22, 2, 7, 10, 1.0e-8
22, 2, 6, 10, 0.0
22, 2, 2, 3, 6.36e-5
22, 2, 2, 4, 0.0002044
22, 2, 4, 5, 0.00109816
22, 2, 3, 5, 0.00060163
22, 2, 4, 6, 6.2e-7
22, 2, 4, 7, 6.1e-7
22, 2, 3, 7, 6.8e-7
22, 2, 4, 8, 7.12e-6
22, 2, 4, 9, 8.369e-5
22, 2, 4, 10, 2.067e-5
22, 2, 3, 8, 5.03e-5
22, 2, 3, 10, 1.126e-5
22, 2, 2, 6, 0.00032229
22, 2, 2, 7, 0.00047155
22, 2, 2, 8, 3.1e-7
22, 2, 2, 9, 4.6e-7
22, 3, 3, 4, 0.0
22, 3, 5, 6, 2.4e-7
22, 3, 5, 7, 5.2e-7
22, 3, 7, 8, 0.0
22, 3, 7, 9, 3.0e-8
22, 3, 6, 8, 5.0e-8
22, 3, 7, 10, 0.0
22, 3, 6, 10, 1.0e-8
22, 3, 4, 5, 0.0
22, 3, 3, 5, 0.0020199
22, 3, 4, 6, 0.0
22, 3, 4, 7, 0.0
22, 3, 3, 7, 2.27e-6
22, 3, 4, 8, 0.0
22, 3, 4, 9, 0.0
22, 3, 4, 10, 0.0
22, 3, 3, 8, 0.00016888
22, 3, 3, 10, 3.78e-5
22, 4, 5, 6, 2.4e-7
22, 4, 5, 7, 5.2e-7
22, 4, 7, 8, 1.0e-8
22, 4, 7, 9, 5.0e-8
22, 4, 6, 8, 2.0e-8
22, 4, 7, 10, 0.0
22, 4, 6, 10, 0.0
22, 4, 4, 5, 0.00191569
22, 4, 4, 6, 1.08e-6
22, 4, 4, 7, 1.06e-6
22, 4, 4, 8, 1.243e-5
22, 4, 4, 9, 0.00014599
22, 4, 4, 10, 3.605e-5
22, 5, 5, 6, 1.15e-6
22, 5, 5, 7, 2.53e-6
22, 5, 7, 8, 0.0
22, 5, 7, 9, 2.0e-8
22, 5, 6, 8, 1.0e-8
22, 5, 7, 10, 0.0
22, 5, 6, 10, 0.0
22, 6, 6, 8, 5.0e-8
22, 6, 6, 10, 1.0e-8
22, 7, 7, 8, 0.0
22, 7, 7, 9, 4.0e-8
22, 7, 7, 10, 0.0
23, 1, 3, 4, 0.0
23, 1, 5, 6, 7.5e-7
23, 1, 5, 7, 1.68e-6
23, 1, 7, 8, 4.0e-8
23, 1, 7, 9, 3.9e-7
23, 1, 6, 8, 2.5e-7
23, 1, 7, 10, 2.0e-8
23, 1, 6, 10, 2.0e-8
23, 1, 2, 3, 1.527e-5
23, 1, 2, 4, 5.129e-5
23, 1, 4, 5, 0.00243052
23, 1, 3, 5, 0.00131016
23, 1, 4, 6, 1.68e-6
23, 1, 4, 7, 1.65e-6
23, 1, 3, 7, 1.8e-6
23, 1, 4, 8, 2.312e-5
23, 1, 4, 9, 0.00026823
23, 1, 4, 10, 4.494e-5
23, 1, 3, 8, 0.00015567
23, 1, 3, 10, 2.421e-5
23, 1, 2, 6, 0.00011241
23, 1, 2, 7, 0.00016432
23, 1, 2, 8, 1.7e-7
23, 1, 2, 9, 2.5e-7
23, 1, 1, 3, 0.07328274
23, 1, 1, 4, 0.14405108
23, 1, 1, 6, 0.00848408
23, 1, 1, 7, 0.01674411
23, 1, 1, 8, 1.26e-6
23, 1, 1, 9, 1.86e-6
23, 2, 3, 4, 0.0
23, 2, 5, 6, 9.2e-7
23, 2, 5, 7, 2.06e-6
23, 2, 7, 8, 3.0e-8
23, 2, 7, 9, 2.9e-7
23, 2, 6, 8, 1.9e-7
23, 2, 7, 10, 1.0e-8
23, 2, 6, 10, 2.0e-8
23, 2, 2, 3, 5.147e-5
23, 2, 2, 4, 0.0001729
23, 2, 4, 5, 0.00137182
23, 2, 3, 5, 0.0007211
23, 2, 4, 6, 9.5e-7
23, 2, 4, 7, 9.3e-7
23, 2, 3, 7, 9.9e-7
23, 2, 4, 8, 1.305e-5
23, 2, 4, 9, 0.00015139
23, 2, 4, 10, 2.536e-5
23, 2, 3, 8, 8.568e-5
23, 2, 3, 10, 1.333e-5
23, 2, 2, 6, 0.00037893
23, 2, 2, 7, 0.0005539
23, 2, 2, 8, 5.7e-7
23, 2, 2, 9, 8.3e-7
23, 3, 3, 4, 0.0
23, 3, 5, 6, 3.3e-7
23, 3, 5, 7, 7.4e-7
23, 3, 7, 8, 1.0e-8
23, 3, 7, 9, 1.3e-7
23, 3, 6, 8, 2.6e-7
23, 3, 7, 10, 1.0e-8
23, 3, 6, 10, 2.0e-8
23, 3, 4, 5, 0.0
23, 3, 3, 5, 0.0025331
23, 3, 4, 6, 0.0
23, 3, 4, 7, 0.0
23, 3, 3, 7, 3.47e-6
23, 3, 4, 8, 0.0
23, 3, 4, 9, 0.0
23, 3, 4, 10, 0.0
23, 3, 3, 8, 0.00030097
23, 3, 3, 10, 4.681e-5
23, 4, 5, 6, 3.2e-7
23, 4, 5, 7, 7.2e-7
23, 4, 7, 8, 3.0e-8
23, 4, 7, 9, 2.7e-7
23, 4, 6, 8, 8.0e-8
23, 4, 7, 10, 1.0e-8
23, 4, 6, 10, 1.0e-8
23, 4, 4, 5, 0.00239979
23, 4, 4, 6, 1.66e-6
23, 4, 4, 7, 1.62e-6
23, 4, 4, 8, 2.282e-5
23, 4, 4, 9, 0.00026484
23, 4, 4, 10, 4.437e-5
23, 5, 5, 6, 1.72e-6
23, 5, 5, 7, 3.84e-6
23, 5, 7, 8, 1.0e-8
23, 5, 7, 9, 1.2e-7
23, 5, 6, 8, 8.0e-8
23, 5, 7, 10, 1.0e-8
23, 5, 6, 10, 1.0e-8
23, 6, 6, 8, 2.5e-7
23, 6, 6, 10, 2.0e-8
23, 7, 7, 8, 2.0e-8
23, 7, 7, 9, 1.9e-7
23, 7, 7, 10, 1.0e-8
24, 1, 3, 4, 0.0
24, 1, 5, 6, 9.3e-7
24, 1, 5, 7, 2.11e-6
24, 1, 7, 8, 1.2e-7
24, 1, 7, 9, 1.11e-6
24, 1, 7, 10, 4.0e-8
24, 1, 6, 8, 7.3e-7
24, 1, 6, 10, 6.0e-8
24, 1, 2, 3, 1.194e-5
24, 1, 2, 4, 4.232e-5
24, 1, 4, 5, 0.00286714
24, 1, 3, 5, 0.00156487
24, 1, 4, 6, 2.41e-6
24, 1, 4, 7, 2.36e-6
24, 1, 3, 7, 2.56e-6
24, 1, 4, 8, 4.068e-5
24, 1, 4, 9, 0.00046636
24, 1, 4, 10, 5.389e-5
24, 1, 3, 8, 0.00026802
24, 1, 3, 10, 2.942e-5
24, 1, 2, 6, 0.00012363
24, 1, 2, 7, 0.00018049
24, 1, 2, 8, 2.6e-7
24, 1, 2, 9, 3.7e-7
24, 1, 1, 3, 0.08257589
24, 1, 1, 4, 0.16208999
24, 1, 1, 6, 0.00949389
24, 1, 1, 7, 0.018701
24, 1, 1, 8, 2.53e-6
24, 1, 1, 9, 3.7e-6
24, 2, 3, 4, 0.0
24, 2, 5, 6, 1.22e-6
24, 2, 5, 7, 2.75e-6
24, 2, 7, 8, 9.0e-8
24, 2, 7, 9, 8.5e-7
24, 2, 7, 10, 3.0e-8
24, 2, 6, 8, 5.5e-7
24, 2, 6, 10, 4.0e-8
24, 2, 2, 3, 4.187e-5
24, 2, 2, 4, 0.00014837
24, 2, 4, 5, 0.00160119
24, 2, 3, 5, 0.00088307
24, 2, 4, 6, 1.35e-6
24, 2, 4, 7, 1.32e-6
24, 2, 3, 7, 1.45e-6
24, 2, 4, 8, 2.272e-5
24, 2, 4, 9, 0.00026044
24, 2, 4, 10, 3.01e-5
24, 2, 3, 8, 0.00015124
24, 2, 3, 10, 1.66e-5
24, 2, 2, 6, 0.00043341
24, 2, 2, 7, 0.00063276
24, 2, 2, 8, 9.0e-7
24, 2, 2, 9, 1.28e-6
24, 3, 3, 4, 0.0
24, 3, 5, 6, 4.1e-7
24, 3, 5, 7, 9.2e-7
24, 3, 7, 8, 4.0e-8
24, 3, 7, 9, 3.8e-7
24, 3, 7, 10, 1.0e-8
24, 3, 6, 8, 7.7e-7
24, 3, 6, 10, 6.0e-8
24, 3, 4, 5, 0.0
24, 3, 3, 5, 0.00306272
24, 3, 4, 6, 0.0
24, 3, 4, 7, 0.0
24, 3, 3, 7, 5.02e-6
24, 3, 4, 8, 0.0
24, 3, 4, 9, 0.0
24, 3, 4, 10, 0.0
24, 3, 3, 8, 0.00052455
24, 3, 3, 10, 5.758e-5
24, 4, 5, 6, 3.9e-7
24, 4, 5, 7, 8.8e-7
24, 4, 7, 8, 8.0e-8
24, 4, 7, 9, 7.6e-7
24, 4, 7, 10, 2.0e-8
24, 4, 6, 8, 2.3e-7
24, 4, 6, 10, 2.0e-8
24, 4, 4, 5, 0.0028913
24, 4, 4, 6, 2.43e-6
24, 4, 4, 7, 2.38e-6
24, 4, 4, 8, 4.102e-5
24, 4, 4, 9, 0.00047029
24, 4, 4, 10, 5.434e-5
24, 5, 5, 6, 2.45e-6
24, 5, 5, 7, 5.52e-6
24, 5, 7, 8, 4.0e-8
24, 5, 7, 9, 3.9e-7
24, 5, 7, 10, 1.0e-8
24, 5, 6, 8, 2.4e-7
24, 5, 6, 10, 2.0e-8
24, 6, 6, 8, 7.9e-7
24, 6, 6, 10, 6.0e-8
24, 7, 7, 8, 7.0e-8
24, 7, 7, 9, 6.3e-7
24, 7, 7, 10, 2.0e-8
25, 1, 3, 4, 0.0
25, 1, 5, 6, 1.1e-6
25, 1, 5, 7, 2.53e-6
25, 1, 7, 8, 2.7e-7
25, 1, 7, 9, 2.48e-6
25, 1, 6, 8, 1.57e-6
25, 1, 7, 10, 8.0e-8
25, 1, 6, 10, 1.4e-7
25, 1, 2, 3, 9.41e-6
25, 1, 2, 4, 3.512e-5
25, 1, 4, 5, 0.00329228
25, 1, 3, 5, 0.00174132
25, 1, 4, 6, 3.35e-6
25, 1, 4, 7, 3.27e-6
25, 1, 3, 7, 3.41e-6
25, 1, 4, 8, 6.931e-5
25, 1, 4, 9, 0.0007828
25, 1, 4, 10, 6.432e-5
25, 1, 3, 8, 0.00042739
25, 1, 3, 10, 3.395e-5
25, 1, 2, 6, 0.00013326
25, 1, 2, 7, 0.0001935
25, 1, 2, 8, 3.4e-7
25, 1, 2, 9, 4.8e-7
25, 1, 1, 3, 0.09177266
25, 1, 1, 4, 0.17994912
25, 1, 1, 6, 0.01093601
25, 1, 1, 7, 0.02152291
25, 1, 1, 8, 3.86e-6
25, 1, 1, 9, 5.64e-6
25, 2, 3, 4, 0.0
25, 2, 5, 6, 1.37e-6
25, 2, 5, 7, 3.15e-6
25, 2, 7, 8, 2.2e-7
25, 2, 7, 9, 1.96e-6
25, 2, 6, 8, 1.17e-6
25, 2, 7, 10, 7.0e-8
25, 2, 6, 10, 1.0e-7
25, 2, 2, 3, 3.447e-5
25, 2, 2, 4, 0.0001286
25, 2, 4, 5, 0.00199807
25, 2, 3, 5, 0.00085457
25, 2, 4, 6, 2.04e-6
25, 2, 4, 7, 1.99e-6
25, 2, 3, 7, 1.67e-6
25, 2, 4, 8, 4.206e-5
25, 2, 4, 9, 0.00047508
25, 2, 4, 10, 3.904e-5
25, 2, 3, 8, 0.00020974
25, 2, 3, 10, 1.666e-5
25, 2, 2, 6, 0.00048796
25, 2, 2, 7, 0.00070855
25, 2, 2, 8, 1.26e-6
25, 2, 2, 9, 1.76e-6
25, 3, 3, 4, 0.0
25, 3, 5, 6, 5.2e-7
25, 3, 5, 7, 1.2e-6
25, 3, 7, 8, 1.0e-7
25, 3, 7, 9, 8.7e-7
25, 3, 6, 8, 1.74e-6
25, 3, 7, 10, 3.0e-8
25, 3, 6, 10, 1.5e-7
25, 3, 4, 5, 0.0
25, 3, 3, 5, 0.00357611
25, 3, 4, 6, 0.0
25, 3, 4, 7, 0.0
25, 3, 3, 7, 7.01e-6
25, 3, 4, 8, 0.0
25, 3, 4, 9, 0.0
25, 3, 4, 10, 0.0
25, 3, 3, 8, 0.00087771
25, 3, 3, 10, 6.972e-5
