"Z","Sy","wK","wL1","wL2","wL3","f1","f1_2","f1_3","fp1_3","f2_3"
5,"B",0.0017,,,,,,,,
6,"C",0.0028,,,,,,,,
7,"N",0.0052,,,,,,,,
8,"O",0.0083,,,,,,,,
9,"F",0.013,,,,,,,,
10,"Ne",0.018,,,,,,,,
11,"Na",0.023,,,,,,,,
12,"Mg",0.03,0.000029,0.0012,0.0012,0.962,0.32,0.64,0.00002,
13,"Al",0.039,0.000026,0.00075,0.00075,0.965,0.32,0.64,0.000016,
14,"Si",0.05,3.0E-05,0.00037,0.00038,0.959,0.32,0.64,0.000014,
15,"P",0.063,0.000039,0.00031,0.00031,0.951,0.32,0.63,0.000012,
16,"S",0.078,0.000074,0.00026,0.00026,0.944,0.32,0.62,0.000014,
17,"Cl",0.097,0.00012,0.00024,0.00024,0.939,0.32,0.62,0.000014,
18,"Ar",0.118,0.000181,0.00022,0.00022,0.934,0.31,0.62,0.000013,
19,"K",0.14,0.00024,0.00027,0.00027,0.929,0.31,0.62,0.000012,
20,"Ca",0.163,0.00031,0.00033,0.00033,0.92,0.31,0.61,0.000014,
21,"Sc",0.188,0.00039,0.00084,0.00084,0.912,0.31,0.6,0.000014,
22,"Ti",0.214,0.00047,0.0015,0.0015,0.902,0.31,0.59,0.000015,
23,"V",0.243,0.00058,0.0026,0.0026,0.894,0.31,0.58,0.000016,
24,"CR",0.275,0.00071,0.0037,0.0037,0.885,0.31,0.57,0.000018,
25,"Mn",0.308,0.00084,0.005,0.005,0.877,0.3,0.58,0.000019,
26,"Fe",0.34,0.001,0.0063,0.0063,0.868,0.3,0.57,0.000021,
27,"Co",0.373,0.0012,7.7E-03,0.0077,0.856,0.3,0.56,0.000023,
28,"Ni",0.406,0.0014,0.0086,0.0093,0.847,"0.3O",0.55,0.000024,0.028
29,"Ca",0.44,0.0016,0.01,0.011,0.839,0.3,0.54,0.000026,0.028
30,"Zn",0.474,0.0018,0.011,0.012,0.831,0.29,0.54,0.000028,0.026
31,"Ga",0.507,0.0021,0.012,0.013,0.822,0.29,0.53,0.00003,0.032
32,"Ge",0.535,0.0024,0.013,0.015,0.815,0.28,0.53,0.000032,0.05
33,"As",0.562,0.0028,0.014,0.016,0.809,0.28,0.53,0.000034,0.063
34,"Se",0.589,0.0032,0.016,0.018,0.804,0.28,0.52,0.000036,0.076
35,"Br",0.618,0.0036,0.018,0.02,0.8,0.28,0.52,0.000038,0.088
36,"Kr",0.643,0.0041,0.02,0.022,0.797,0.27,0.52,0.000041,0.1
37,"Rb",0.667,0.0046,0.022,0.024,0.794,0.27,0.52,0.000044,0.109
38,"Sr",0.69,0.0051,0.024,0.026,0.79,0.27,0.52,0.000047,0.117
39,"Y",0.71,0.0059,0.026,0.028,0.785,0.26,0.52,0.000052,0.126
40,"Zr",0.73,0.0068,0.028,0.031,0.779,0.26,0.52,0.000058,0.132
41,"Nb",0.747,0.0094,0.031,0.034,0.713,0.1,0.61,0.000078,0.137
42,"Mo",0.765,0.01,0.034,0.037,0.712,0.1,0.61,0.000081,0.141
43,"Tc",0.78,0.011,0.037,0.04,0.711,0.1,0.61,0.000088,0.144
44,"Ru",0.794,0.012,0.04,0.043,0.709,0.1,0.61,"9.6E-O5",0.148
45,"Rh",0.808,0.013,0.043,0.046,0.705,0.1,0.6,0.0001,0.15
46,"Pd",0.82,0.014,0.047,0.049,0.7,0.1,0.6,0.00011,0.151
47,"Ag",0.831,0.016,0.051,0.052,0.694,0.1,0.59,0.00012,0.153
48,"Cd",0.843,0.018,0.056,0.056,0.688,0.1,0.59,0.00014,0.155
49,"In",0.853,0.02,0.061,0.06,0.681,0.1,0.59,0.00016,0.157
50,"Sn",0.862,0.037,0.065,0.064,0.439,0.17,0.27,0.0003,0.157
51,"Sb",0.87,0.039,0.069,0.069,0.448,0.17,0.28,0.00032,0.156
52,"Te",0.877,0.041,0.074,0.074,0.455,0.18,0.28,0.00014,0.155
53,"I",0.884,0.044,0.079,0.079,0.461,0.18,0.28,0.00037,0.154
54,"Xe",0.891,0.046,0.083,0.085,0.466,0.19,0.28,0.0004,0.154
55,"Cs",0.897,0.049,0.09,0.091,0.47,0.19,0.28,0.00043,0.154
56,"Ba",0.902,0.052,0.096,0.097,0.474,0.19,0.28,0.00047,0.153
57,"La",0.907,0.055,0.103,0.104,0.478,0.19,0.29,0.00051,0.153
58,"Ce",0.912,0.058,0.11,0.111,0.482,0.19,0.29,0.00055,0.153
59,"Pr",0.917,0.061,0.117,0.118,0.485,0.19,0.29,0.0006,0.153
60,"Nd",0.921,0.064,0.124,0.125,0.488,0.19,0.3,0.00066,0.152
61,"Pm",0.925,0.066,0.132,0.132,0.49,0.19,0.3,0.00072,0.151
62,"Sm",0.929,0.071,0.14,0.139,0.492,0.19,0.3,0.00079,0.15
63,"Eu",0.932,0.075,0.149,0.147,0.493,0.19,0.3,0.00087,0.149
