"Z","Sy","wK","wL1","wL2","wL3","f1","f1_2","f1_3","fp1_3","f2_3"
64,"Gd",0.935,0.079,0.158,0.155,0.493,0.19,0.3,0.00096,0.147
65,"Tb",0.938,0.083,0.167,0.164,0.493,0.19,0.3,0.0011,0.145
66,"Dy",0.941,0.089,0.178,0.174,0.492,0.19,0.3,0.0012,0.143
67,"Ho",0.944,0.094,0.189,0.182,0.49,0.19,0.3,0.0013,0.142
68,"Er",0.947,0.1,0.2,0.192,0.487,0.19,0.3,0.0014,0.14
69,"Tm",0.949,0.106,0.211,0.201,0.483,0.19,0.29,0.0016,0.139
70,"Yb",0.951,0.112,0.222,0.21,0.478,0.19,0.29,0.0018,0.138
71,"Lu",0.953,0.12,0.234,0.22,0.472,0.19,0.28,0.002,0.136
72,"Hf",0.955,0.128,0.246,0.231,0.465,0.18,0.28,0.0023,0.135
73,"Ta",0.957,0.137,0.258,0.243,0.457,0.18,0.28,0.0026,0.134
74,"W",0.958,0.147,0.27,0.255,0.447,0.17,0.28,0.0028,0.133
75,"Re",0.959,0.144,0.283,0.268,0.485,0.16,0.33,0.003,0.13
76,"Os",0.961,0.13,0.295,0.281,0.552,0.16,0.39,0.0029,0.128
77,"Ir",0.962,0.12,0.308,0.294,0.603,0.15,0.45,0.0028,0.126
78,"PT",0.963,0.114,0.321,0.306,0.64,0.14,0.5,0.0028,0.124
79,"Au",0.964,0.107,0.334,0.32,0.672,0.14,0.53,0.0028,0.122
80,"Hg",0.965,0.107,0.347,0.333,0.69,0.13,0.56,0.00301,0.12
81,"Tl",0.966,0.107,0.36,0.347,0.696,0.13,0.57,0.0032,0.118
82,"Pb",0.967,0.112,0.373,0.36,0.696,0.12,0.58,0.0035,0.116
83,"Bi",0.968,0.117,0.387,0.373,0.694,0.11,0.58,0.0038,0.113
84,"Po",0.968,0.122,0.401,0.386,0.689,0.11,0.58,0.0042,0.111
85,"At",0.969,0.128,0.415,0.399,0.685,0.1,0.59,0.0047,0.111
86,"Rn",0.969,0.134,0.429,0.411,0.682,0.1,0.58,0.0052,0.11
87,"Pr",0.97,0.139,0.443,0.424,0.677,0.1,0.58,0.0058,0.109
88,"Ra",0.97,0.146,0.456,0.437,0.672,0.09,0.58,0.0064,0.108
89,"Ac",0.971,0.153,0.468,0.45,0.664,0.09,0.58,0.0071,0.108
90,"Tb",0.971,0.161,0.479,0.463,0.66,0.09,0.57,0.0078,0.108
91,"Pa",0.972,0.162,0.472,0.476,0.664,0.08,0.58,0.0084,0.139
92,"U",0.972,0.176,0.467,0.489,0.652,0.08,0.57,0.0097,0.167
93,"Np",0.973,0.187,0.466,0.502,0.642,0.07,0.57,0.011,0.192
94,"Pu",0.973,0.205,0.464,0.514,0.605,0.05,0.56,0.013,0.198
95,"Am",0.974,0.218,0.471,0.526,0.595,0.05,0.55,0.014,0.203
96,"Cm",0.974,0.228,0.479,0.539,0.587,0.04,0.55,0.016,0.2
97,"Bk",0.975,0.236,0.485,0.55,0.58,0.04,0.54,0.017,0.198
98,"Cf",0.975,0.244,0.49,0.56,0.573,0.03,0.54,0.019,0.197
99,"ES",0.975,0.253,0.497,0.57,0.565,0.03,0.54,0.021,0.196
100,"Fm",0.976,0.263,0.506,0.579,0.556,0.03,0.53,0.023,0.194
101,"Md",0.976,0.272,0.515,0.588,0.548,0.02,0.53,0.026,0.191
102,"No",0.976,0.28,0.524,0.596,0.54,0.02,0.52,0.028,0.189
103,"Lr",0.977,0.282,0.533,0.604,0.538,0.01,0.53,0.03,0.185
104,"Rf",0.977,0.291,0.544,0.611,0.531,0.01,0.52,0.033,0.181
105,"Db",0.977,0.3,0.553,0.618,0.522,0.01,0.51,0.035,0.178
106,"Sg",0.978,0.31,0.562,0.624,0.513,,0.51,0.038,0.174
107,"Bh",0.978,0.32,0.573,0.63,0.505,,0.5,0.042,0.171
108,"Hs",0.978,0.331,0.584,0.635,0.497,,0.5,0.046,0.165
109,"Mt",0.978,0.343,0.59,0.64,0.488,,0.49,0.05,0.163
110,"Ds",0.979,0.354,0.598,0.644,0.477,,0.48,0.054,0.158
