Z,xray,source,mac
6,C K-L2,Weisweiler1975,2535
14,C K-L2,Weisweiler1975,33000
22,C K-L2,Weisweiler1975,7500
23,C K-L2,Weisweiler1975,8500
24,C K-L2,Weisweiler1975,9500
26,C K-L2,Weisweiler1975,10800
40,C K-L2,Weisweiler1975,20600
41,C K-L2,Weisweiler1975,15800
42,C K-L2,Weisweiler1975,12500
73,C K-L2,Weisweiler1975,8500
74,C K-L2,Weisweiler1975,8700
5,C K-L2,Bastin1990,37000
6,C K-L2,Bastin1990,2373
14,C K-L2,Bastin1990,36000
22,C K-L2,Bastin1990,9000
23,C K-L2,Bastin1990,9700
24,C K-L2,Bastin1990,10700
26,C K-L2,Bastin1990,13500
40,C K-L2,Bastin1990,25500
41,C K-L2,Bastin1990,24800
42,C K-L2,Bastin1990,20600
73,C K-L2,Bastin1990,17000
74,C K-L2,Bastin1990,18600
5,N K-L3,Henke1974,15810
7,N K-L3,Henke1974,1637
13,N K-L3,Henke1974,13830
14,N K-L3,Henke1974,17690
22,N K-L3,Henke1974,4364
23,N K-L3,Henke1974,4790
24,N K-L3,Henke1974,5630
26,N K-L3,Henke1974,7121
40,N K-L3,Henke1974,25030
41,N K-L3,Henke1974,27190
42,N K-L3,Henke1974,23220
72,N K-L3,Henke1974,12910
73,N K-L3,Henke1974,13420
5,N K-L3,Henke1982,15800
7,N K-L3,Henke1982,1810
13,N K-L3,Henke1982,13800
14,N K-L3,Henke1982,16500
22,N K-L3,Henke1982,4360
23,N K-L3,Henke1982,4790
24,N K-L3,Henke1982,5630
26,N K-L3,Henke1982,7190
40,N K-L3,Henke1982,20400
41,N K-L3,Henke1982,21400
42,N K-L3,Henke1982,20200
72,N K-L3,Henke1982,12900
73,N K-L3,Henke1982,13400
5,N K-L3,Bastin1988,15800
7,N K-L3,Bastin1988,1810
13,N K-L3,Bastin1988,13100
14,N K-L3,Bastin1988,17170
22,N K-L3,Bastin1988,4360
23,N K-L3,Bastin1988,4790
24,N K-L3,Bastin1988,5630
26,N K-L3,Bastin1988,7190
40,N K-L3,Bastin1988,24000
41,N K-L3,Bastin1988,25000
42,N K-L3,Bastin1988,25000
72,N K-L3,Bastin1988,14050
73,N K-L3,Bastin1988,15000
