"Z", "K_L1", "K_L2", "K_L3", "K_M2", "K_M3", "K_M4", "K_M5", "K_N2", "K_N3", "K_N4", "K_N5", "K_O2", "K_O3", "K_O4", "K_O5", "K_P2", "K_P3", "L1_M2", "L1_M3", "L1_M4", "L1_M5", "L1_N2", "L1_N3", "L1_N4", "L1_N5", "L1_O2", "L1_O3", "L1_O4", "L1_O5", "L1_P2", "L1_P3", "L2_M1", "L2_M3", "L2_M4", "L2_N1", "L2_N3", "L2_N4", "L2_N6", "L2_O1", "L2_O3", "L2_O4", "L2_P1", "L2_P3", "L3_M1", "L3_M2", "L3_M3", "L3_M4", "L3_M5", "L3_N1", "L3_N2", "L3_N3", "L3_N4", "L3_N5", "L3_N6", "L3_N7", "L3_O1", "L3_O2", "L3_O3", "L3_O4", "L3_O5", "L3_P1", "L3_P2", "L3_P3", "M1_N2", "M1_N3", "M1_O2", "M1_O3", "M1_P2", "M1_P3", "M2_N1", "M2_N4", "M2_O1", "M2_O4", "M2_P1", "M3_N1", "M3_N4", "M3_N5", "M3_O1", "M3_O4", "M3_O5", "M3_P1", "M4_N2", "M4_N3", "M4_N6", "M4_O2", "M4_O3", "M4_P2", "M4_P3", "M5_N3", "M5_N6", "M5_N7", "M5_O3", "M5_P3", "N1_O2", "N1_O3", "N1_P2", "N1_P3", "N2_O1", "N2_O4", "N2_P1", "N3_O1", "N3_O4", "N3_O5", "N3_P1", "N4_O2", "N4_O3", "N4_P2", "N4_P3", "N5_O3", "N5_P3", "N6_O4", "N6_O5", "N7_O5", "O1_P2", "O1_P3", "O2_P1", "O3_P1"
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, 1e-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, 5e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,, 0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,, 0.00056149, 0.0011206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,, 0.0010942, 0.00218181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,, 0.00190768, 0.00380027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,, 0.00306841, 0.00610744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,, 0.00464329, 0.00922967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
