"Z", "K_L1", "K_L2", "K_L3", "K_M2", "K_M3", "K_M4", "K_M5", "K_N2", "K_N3", "K_N4", "K_N5", "K_O2", "K_O3", "K_O4", "K_O5", "K_P2", "K_P3", "L1_M2", "L1_M3", "L1_M4", "L1_M5", "L1_N2", "L1_N3", "L1_N4", "L1_N5", "L1_O2", "L1_O3", "L1_O4", "L1_O5", "L1_P2", "L1_P3", "L2_M1", "L2_M3", "L2_M4", "L2_N1", "L2_N3", "L2_N4", "L2_N6", "L2_O1", "L2_O3", "L2_O4", "L2_P1", "L2_P3", "L3_M1", "L3_M2", "L3_M3", "L3_M4", "L3_M5", "L3_N1", "L3_N2", "L3_N3", "L3_N4", "L3_N5", "L3_N6", "L3_N7", "L3_O1", "L3_O2", "L3_O3", "L3_O4", "L3_O5", "L3_P1", "L3_P2", "L3_P3", "M1_N2", "M1_N3", "M1_O2", "M1_O3", "M1_P2", "M1_P3", "M2_N1", "M2_N4", "M2_O1", "M2_O4", "M2_P1", "M3_N1", "M3_N4", "M3_N5", "M3_O1", "M3_O4", "M3_O5", "M3_P1", "M4_N2", "M4_N3", "M4_N6", "M4_O2", "M4_O3", "M4_P2", "M4_P3", "M5_N3", "M5_N6", "M5_N7", "M5_O3", "M5_P3", "N1_O2", "N1_O3", "N1_P2", "N1_P3", "N2_O1", "N2_O4", "N2_P1", "N3_O1", "N3_O4", "N3_O5", "N3_P1", "N4_O2", "N4_O3", "N4_P2", "N4_P3", "N5_O3", "N5_P3", "N6_O4", "N6_O5", "N7_O5", "O1_P2", "O1_P3", "O2_P1", "O3_P1"
11,, 0.00668996, 0.0132959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,, 0.00927327, 0.0184189,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 3.41e-06,,,,,,,,,,,, 3.18e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,, 0.0123699, 0.0245528, 7.559e-05, 0.00015004,,,,,,,,,,,,, 2.08e-06, 4.03e-06,,,,,,,,,,,,, 1.605e-05,,,,,,,,,,,, 1.5e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,, 0.0159791, 0.0317052, 0.0002724, 0.00054044,,,,,,,,,,,,, 5.83e-06, 1.073e-05,,,,,,,,,,,,, 4.72e-05,,,,,,,,,,,, 4.421e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,, 0.020122, 0.0398749, 0.00062147, 0.0012321,,,,,,,,,,,,, 1.43e-05, 2.505e-05,,,,,,,,,,,,, 0.00010731, 1e-08,,,,,,,,,,, 0.00010072, 1e-08, 1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,, 0.0247822, 0.0490644, 0.00115591, 0.00228902,,,,,,,,,,,,, 3.058e-05, 5.148e-05,,,,,,,,,,,,, 0.00020743, 3e-08,,,,,,,,,,, 0.00019508, 2e-08, 2e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,, 0.0299473, 0.0592357, 0.00190852, 0.00377764,,,,,,,,,,,,, 5.776e-05, 9.346e-05,,,,,,,,,,,,, 0.00035857, 1e-07,,,,,,,,,,, 0.00033784, 5e-08, 5e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,, 0.0355868, 0.0703336, 0.00291258, 0.00575646,,,,,,,,,,,,, 9.684e-05, 0.0001527,,,,,,,,,,,,, 0.00057135, 2.5e-07,,,,,,,,,,, 0.00053918, 1.1e-07, 1.1e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,, 0.0418599, 0.0826518, 0.00399739, 0.00791008,,,,,,,,,,,,, 0.00014723, 0.0002254,,,,,,,,,,,,, 0.00083541, 4.8e-07,, 2.039e-05,,,,,,,,, 0.00078947, 2.2e-07, 2.2e-07,,, 1.925e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,, 0.0487196, 0.0961323, 0.00517776, 0.0102489,,,,,,,,,,,,, 0.00020406, 0.00030602,,,,,,,,,,,,, 0.00119571, 8.7e-07,, 2.536e-05,,,,,,,,, 0.0011313, 4.1e-07, 4e-07,,, 2.397e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,, 0.0563841, 0.11113, 0.00622301, 0.012304,, 2.9e-07,,,,,,,,,,, 0.00026257, 0.00038878, 1.4e-07, 2.1e-07,,,,,,,,,,, 0.00155229, 1.42e-06, 9.277e-05, 3.039e-05,,,,,,,,, 0.00147392, 6.6e-07, 6.5e-07, 6.52e-06, 7.764e-05, 2.878e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,, 0.0645983, 0.12714, 0.00732673, 0.014475,, 8.7e-07,,,,,,,,,,, 0.00032229, 0.00047155, 3.1e-07, 4.6e-07,,,,,,,,,,, 0.0020199, 2.27e-06, 0.00016888, 3.78e-05,,,,,,,,, 0.00191569, 1.08e-06, 1.06e-06, 1.243e-05, 0.00014599, 3.605e-05,,,,,,,,,,,,,,,,,,,,, 1e-08,,,,, 1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,, 0.0732827, 0.144051, 0.00848408, 0.0167441, 1.26e-06, 1.86e-06,,,,,,,,,,, 0.00037893, 0.0005539, 5.7e-07, 8.3e-07,,,,,,,,,,, 0.0025331, 3.47e-06, 0.00030097, 4.681e-05,,,,,,,,, 0.00239979, 1.66e-06, 1.62e-06, 2.282e-05, 0.00026484, 4.437e-05,,,,,,,,,,,,,,,,,,,,, 1e-08,,,,, 1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,, 0.0825759, 0.16209, 0.00949389, 0.018701, 2.53e-06, 3.7e-06,,,,,,,,,,, 0.00043341, 0.00063276, 9e-07, 1.28e-06,,,,,,,,,,, 0.00306272, 5.02e-06, 0.00052455, 5.758e-05,,,,,,,,, 0.0028913, 2.43e-06, 2.38e-06, 4.102e-05, 0.00047029, 5.434e-05,,,,,,,,,,,,,,,,,,,,, 2e-08,,,,, 1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,, 0.0917727, 0.179949, 0.010936, 0.0215229, 3.86e-06, 5.64e-06,,,,,,,,,,, 0.00048796, 0.00070855, 1.26e-06, 1.76e-06,,,,,,,,,,, 0.00357611, 7.01e-06, 0.00087771, 6.972e-05,,,,,,,,, 0.00335628, 3.42e-06, 3.34e-06, 7.066e-05, 0.00079801, 6.557e-05,,,,,,,,,,,,,,,,,,,,, 5e-08,,,,, 3e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,, 0.101391, 0.198621, 0.0122111, 0.0240042, 6.01e-06, 8.77e-06,,,,,,,,,,, 0.00053355, 0.0007921, 1.62e-06, 2.2e-06,,,,,,,,,,, 0.00403768, 9.18e-06, 0.00140199, 8.274e-05,,,,,,,,, 0.00375953, 4.57e-06, 4.45e-06, 0.00011499, 0.00128521, 7.696e-05,,,,,,,,,,,,,,,,,,,,, 1.1e-07,,,,, 7e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,, 0.11122, 0.21747, 0.013502, 0.026513, 8.91e-06, 1.297e-05,,,,,,,,,,, 0.00058279, 0.00086975, 1.96e-06, 2.6e-06,,,,,,,,,,, 0.0043821, 1.165e-05, 0.0021677, 9.631e-05,,,,,,,,, 0.0040698, 5.77e-06, 5.62e-06, 0.00017875, 0.0019634, 8.752e-05,,,,,,,,,,,,,,,,,,,,, 2.2e-07,,,,, 1.5e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,, 0.12106, 0.236419, 0.014805, 0.0290299, 1.269e-05, 1.844e-05,,,,,,,,,,, 0.00063214, 0.0009677, 2.27e-06, 2.98e-06,,,,,,,,,,, 0.00455671, 1.394e-05, 0.00312391, 0.0001083,,,,,,,,, 0.00426136, 7.04e-06, 6.84e-06, 0.0002627, 0.00285977, 9.788e-05,,,,,,,,,,,,,,,,,,,,, 3.9e-07,,,,, 3.1e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,, 0.131119, 0.255668, 0.0158899, 0.0310908, 1.794e-05, 2.593e-05,,,,,,,,,,, 0.00068836, 0.0010652, 2.6e-06, 3.42e-06,,,,,,,,,,, 0.00465603, 1.625e-05, 0.00442993, 0.00012089,,,,,,,,, 0.00433818, 8.2e-06, 7.95e-06, 0.00037092, 0.00397209, 0.00010619,,,,,,,,,,,,,,,,,,,,, 6.4e-07,,,,, 5.7e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,, 0.14062, 0.273809, 0.017389, 0.0339969, 2.351e-05, 3.399e-05,,,,,,,,,,, 0.00073862, 0.00117501, 2.9e-06, 3.92e-06,,,,,,,,,,, 0.00461199, 1.808e-05, 0.00587348, 0.00013042,,,,,,,,, 0.00434963, 9.22e-06, 8.91e-06, 0.0004963, 0.00525973, 0.00011328,,,,,,,,,,,,,,,,,,,,, 1.03e-06,,,,, 1.06e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,, 0.14978, 0.2912, 0.01893, 0.036989, 3.009e-05, 4.346e-05,, 0.00020598,,,,,,,,, 0.00079676, 0.00128631, 3.25e-06, 4.52e-06, 4.92e-06, 8.8e-06,,,,,,,,, 0.00443283, 1.963e-05, 0.00753404, 0.00013759, 1e-08,,,,,,,, 0.00430092, 1.008e-05, 9.73e-06, 0.00064592, 0.00671294, 0.00011951, 1e-08, 1e-08,,,,,,,,,,,,, 5.9e-07, 9.1e-07,,,,, 1.54e-06,,,,, 1.88e-06,,,,,,, 1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,, 0.158539, 0.307699, 0.0204929, 0.0400378, 3.763e-05, 5.428e-05,, 0.0006409,,,,,,,,, 0.00084587, 0.0014228, 3.68e-06, 5.3e-06, 1.483e-05, 2.652e-05,,,,,,,,, 0.00421451, 2.072e-05, 0.00933232, 0.00014444, 5e-08,,,,,,,, 0.00422021, 1.091e-05, 1.05e-05, 0.00080568, 0.00831882, 0.00012486, 2e-08, 2e-08,,,,,,,,,,,,, 2.3e-06, 3.6e-06,,,,, 2.17e-06,,,,, 3.07e-06,,,,,,, 7e-08, 1e-08,,,,,, 1e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,, 0.16689, 0.323251, 0.022059, 0.0430891, 4.614e-05, 6.645e-05,, 0.0012923,,,,,,,,, 0.00090415, 0.00155206, 4.2e-06, 6.17e-06, 2.924e-05, 5.227e-05,,,,,,,,, 0.00397241, 2.161e-05, 0.011239, 0.00014986, 9e-08,,,,,,,, 0.00416398, 1.162e-05, 1.116e-05, 0.00099023, 0.010009, 0.00013085, 4e-08, 4e-08,,,,,,,,,,,,, 5.4e-06, 8.47e-06,,,,, 3.15e-06,,,,, 4.74e-06,,,,,,, 3.2e-07, 6e-08,,,,,, 4.7e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,, 0.174701, 0.337942, 0.0236001, 0.0460552, 5.56e-05, 7.997e-05,, 0.00215411,,,,,,,,, 0.00095351, 0.00168825, 4.79e-06, 7.12e-06, 4.808e-05, 8.573e-05,,,,,,,,, 0.00374707, 2.229e-05, 0.0132429, 0.00015517, 1.6e-07,,,,,,,, 0.00408913, 1.224e-05, 1.173e-05, 0.00118331, 0.0118471, 0.00013623, 8e-08, 7e-08,,,,,,,,,,,,, 9.44e-06, 1.48e-05,,,,, 4.59e-06,,,,, 7.16e-06,,,,,,, 9.2e-07, 1.7e-07,,,,,, 1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,, 0.182072, 0.351534, 0.0251133, 0.0489996, 6.604e-05, 9.482e-05,, 0.00322224,,,,,,,,, 0.00102582, 0.00183441, 5.59e-06, 8.32e-06, 7.286e-05, 0.0001294,,,,,,,,, 0.00355419, 2.287e-05, 0.015354, 0.0001611, 2.5e-07,,,,,,,, 0.00407397, 1.305e-05, 1.248e-05, 0.00140269, 0.0137369, 0.00014365, 1.2e-07, 1.1e-07,,,,,,,,,,,,, 1.436e-05, 2.246e-05,,,,, 6.41e-06,,,,, 1.036e-05,,,,,,, 1.93e-06, 3.6e-07,,,,,, 2.8e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,, 0.188869, 0.364199, 0.0265729, 0.0518228, 7.747e-05, 0.000111,, 0.00449188,,,,,,,,, 0.00111439, 0.00198218, 6.56e-06, 9.76e-06, 0.0001045, 0.00018471,,,,,,,,, 0.00338438, 2.351e-05, 0.0174919, 0.00016751, 3.7e-07,,,,,,,, 0.00404641, 1.363e-05, 1.301e-05, 0.0016215, 0.015782, 0.00015076, 1.8e-07, 1.7e-07,,,,,,,,,,,,, 1.973e-05, 3.072e-05,,,,, 8.41e-06,,,,, 1.464e-05,,,,,,, 3.61e-06, 6.7e-07,,,,,, 5.27e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,, 0.195309, 0.375737, 0.0280028, 0.0545866, 8.996e-05, 0.00012864,, 0.00587956,,,,,,,,, 0.0012136, 0.0021472, 7.67e-06, 1.142e-05, 0.00013525, 0.00024004,,,,,,,,, 0.00326826, 2.44e-05, 0.0199178, 0.00017619, 4.9e-07,,,,,,,, 0.00410362, 1.45e-05, 1.381e-05, 0.00188571, 0.0178401, 0.00016131, 2.4e-07, 2.3e-07,,,,,,,,,,,,, 2.517e-05, 3.938e-05,,,,, 1.116e-05,,,,, 2.056e-05,,,,,,, 5.96e-06, 1.1e-06,,,,,, 8.73e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,, 0.201262, 0.386455, 0.0293724, 0.0572517, 0.00010347, 0.00014764, 0.00380545, 0.00727519,,,,,,,,, 0.0013414, 0.00236111, 9.08e-06, 1.351e-05, 0.00016932, 0.00030026,,,,,,,,, 0.0031983, 2.534e-05, 0.022378, 0.00018738, 6.4e-07,,,,,,,, 0.00416371, 1.541e-05, 1.465e-05, 0.0021335, 0.020061, 0.00017244, 3.1e-07, 3e-07,,,,,,,,,,,,, 3.08e-05, 4.818e-05,,,,, 1.482e-05,,,,, 2.829e-05,,,,,,, 9.08e-06, 1.67e-06,,,,,, 1.25e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,, 0.206808, 0.396256, 0.0307037, 0.0598234, 0.00011791, 0.00016789, 0.00452636, 0.00871401,, 9.8e-07,,,,,,, 0.0014908, 0.00261029, 1.076e-05, 1.602e-05, 0.00020321, 0.00035871, 5e-08, 8e-08,,,,,,, 0.00312648, 2.625e-05, 0.0248598, 0.00019863, 7.7e-07, 0.00013432,,,,,,, 0.00429921, 1.664e-05, 1.579e-05, 0.0024313, 0.022178, 0.00018734, 3.8e-07, 3.7e-07, 1.303e-05, 0.00011526,,,,,,,,,,, 3.702e-05, 5.763e-05,,,,, 1.928e-05, 1.2e-06,,,, 3.707e-05, 2.5e-07, 2.07e-06,,,,, 1.333e-05, 2.43e-06,,,,,, 1.933e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,, 0.211871, 0.405451, 0.0319751, 0.0622642, 0.00013329, 0.00018933, 0.00523601, 0.010056, 1.88e-06, 2.66e-06,,,,,,, 0.0016551, 0.0028807, 1.27e-05, 1.891e-05, 0.00023947, 0.0004206, 1.4e-07, 2.1e-07,,,,,,, 0.0031068, 2.759e-05, 0.027292, 0.00021345, 9.3e-07, 0.00034288,,,,,,, 0.00443089, 1.775e-05, 1.678e-05, 0.00268449, 0.0244299, 0.00020288, 4.6e-07, 4.4e-07, 3.345e-05, 0.00029619,,,,,,,,,,, 4.388e-05, 6.793e-05,,,,, 2.436e-05, 4.06e-06,,,, 4.739e-05, 8.5e-07, 7.06e-06,,,,, 2.012e-05, 3.64e-06,,,,,, 2.93e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,, 0.21674, 0.413889, 0.0331819, 0.0646149, 0.00014962, 0.00021201, 0.00586619, 0.011217, 4.29e-06, 6.01e-06,,,,,,, 0.00183809, 0.00318188, 1.495e-05, 2.227e-05, 0.00027486, 0.00047949, 3.3e-07, 4.9e-07,,,,,,, 0.003072, 2.883e-05, 0.029742, 0.00022782, 1.07e-06, 0.00073484,,,,,,, 0.00461282, 1.911e-05, 1.8e-05, 0.00298892, 0.0265531, 0.00022204, 5.4e-07, 5.2e-07, 7.312e-05, 0.00064498,,,,,,,,,,, 5.112e-05, 7.845e-05,,,,, 2.943e-05, 1.091e-05,,,, 5.686e-05, 2.26e-06, 1.861e-05,,,,, 2.92e-05, 5.23e-06,,,,,, 4.255e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,, 0.221309, 0.421718, 0.0343589, 0.0668877, 0.00016692, 0.00023604, 0.00634137, 0.0122259, 6.71e-06, 9.39e-06,,,,,,, 0.0020658, 0.0035529, 1.776e-05, 2.646e-05, 0.00032186, 0.00055841, 5.4e-07, 8e-07,,,,,,, 0.00312821, 3.068e-05, 0.0323221, 0.00024753, 1.27e-06, 0.0011115,,,,,,, 0.00480691, 2.042e-05, 1.932e-05, 0.00325261, 0.0288901, 0.00024392, 6.5e-07, 6.2e-07, 0.0001107, 0.00097649,,,,,,,,,,, 5.958e-05, 9.073e-05,,,,, 3.503e-05, 1.969e-05,,,, 6.717e-05, 4.01e-06, 3.308e-05,,,,, 4.125e-05, 7.32e-06,,,,,, 6.005e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,, 0.225571, 0.428852, 0.0354672, 0.0690254, 0.00018502, 0.00026114, 0.00684274, 0.0131501, 9.79e-06, 1.366e-05,,,,,,, 0.00231551, 0.00395781, 2.101e-05, 3.131e-05, 0.00037386, 0.0006448, 8.3e-07, 1.23e-06,,,,,,, 0.00318252, 3.258e-05, 0.0349882, 0.00026829, 1.5e-06, 0.00157301,,,,,,, 0.00500258, 2.178e-05, 2.065e-05, 0.00352648, 0.0313069, 0.00026728, 7.7e-07, 7.3e-07, 0.00015659, 0.00138169,,,,,,,,,,, 6.892e-05, 0.00010407,,,,, 4.091e-05, 3.23e-05,,,, 7.714e-05, 6.41e-06, 5.293e-05,,,,, 5.687e-05, 1e-05,,,,,, 8.259e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,, 0.229599, 0.435598, 0.0365518, 0.0710886, 0.00020419, 0.00028729, 0.00715846, 0.0137819, 1.361e-05, 1.893e-05,,,,,,, 0.002612, 0.0044366, 2.496e-05, 3.72e-05, 0.00043486, 0.00074558, 1.22e-06, 1.82e-06,,,,,,, 0.00323479, 3.454e-05, 0.0376879, 0.00029012, 1.75e-06, 0.00211849,,,,,,, 0.0051999, 2.319e-05, 2.194e-05, 0.0038098, 0.033806, 0.00029217, 9e-07, 8.6e-07, 0.00021142, 0.0018653,,,,,,,,,,, 7.784e-05, 0.0001165,,,,, 4.684e-05, 4.922e-05,,,, 8.677e-05, 9.54e-06, 7.872e-05,,,,, 7.564e-05, 1.318e-05,,,,,, 0.00011075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,, 0.23332, 0.441689, 0.0375619, 0.0730379, 0.00022413, 0.0003146, 0.00747039, 0.014428, 1.821e-05, 2.527e-05,,,,,,, 0.00298569, 0.00503658, 2.998e-05, 4.471e-05, 0.00051047, 0.00086956, 1.77e-06, 2.64e-06,,,,,,, 0.00328632, 3.656e-05, 0.0405713, 0.00031313, 2.04e-06, 0.00276402,,,,,,, 0.00539871, 2.464e-05, 2.328e-05, 0.00409921, 0.0363911, 0.00031865, 1.04e-06, 9.9e-07, 0.00027547, 0.0024298,,,,,,,,,,, 8.503e-05, 0.00012605,,,,, 5.394e-05, 7.249e-05,,,, 9.679e-05, 1.352e-05, 0.00011146,,,,, 9.746e-05, 1.682e-05,,,,,, 0.00013985,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,, 0.23674, 0.447191, 0.0385201, 0.0748661, 0.0002449, 0.00034267, 0.00778411, 0.015084, 2.439e-05, 3.354e-05,,,,,,, 0.0035942, 0.00602259, 3.79e-05, 5.651e-05, 0.00062372, 0.001054, 2.71e-06, 4.02e-06,,,,,,, 0.0033573, 3.862e-05, 0.043451, 0.00033706, 2.32e-06, 0.0036122,,,,,,, 0.00559771, 2.614e-05, 2.465e-05, 0.00439151, 0.0389871, 0.0003467, 1.19e-06, 1.13e-06, 0.00035977, 0.00315361,,,,,,,,,,, 9.52e-05, 0.0001395,,,,, 5.888e-05, 0.00010134,,,, 0.00010292, 1.831e-05, 0.00014992,,,,, 0.00012713, 2.169e-05,,,,,, 0.00018094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,, 0.24001, 0.452271, 0.039435, 0.0766271, 0.00026654, 0.00037192, 0.00801611, 0.015501, 3.003e-05, 4.14e-05,,,,,,, 0.0046386, 0.00771881, 5.127e-05, 7.647e-05, 0.00082945, 0.0013938, 4.09e-06, 6.1e-06,,,,,,, 0.0034368, 4.073e-05, 0.046505, 0.00036216, 2.68e-06, 0.0043469,, 8.59e-06,,,,, 0.00580057, 2.771e-05, 2.608e-05, 0.00471305, 0.0418065, 0.00037659, 1.37e-06, 1.31e-06, 0.00043348, 0.00381994,,, 1.072e-05,,,,,,,, 0.00010708, 0.00015555,,,,, 6.339e-05, 0.00012779,,,, 0.00010966, 2.272e-05, 0.0001868, 3.59e-06,,,, 0.00016265, 2.748e-05,,,,,, 0.00023103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,, 0.243038, 0.456837, 0.0403067, 0.0782974, 0.00028899, 0.00040224, 0.00820524, 0.0159199, 3.607e-05, 4.969e-05,,,,,,, 0.00645791, 0.010667, 7.472e-05, 0.00011145, 0.0011901, 0.0019898, 6.52e-06, 9.76e-06,,,,,,, 0.00351722, 4.292e-05, 0.0499682, 0.00038863, 3.12e-06, 0.00514243,, 2.273e-05,,,,, 0.00600518, 2.932e-05, 2.755e-05, 0.00504698, 0.0447809, 0.00040828, 1.59e-06, 1.51e-06, 0.00051025, 0.00451149,,, 2.852e-05,,,,,,,, 0.00012008, 0.00017282,,,,, 6.706e-05, 0.00015399,,,, 0.00011685, 2.742e-05, 0.00022591, 9.3e-06,,,, 0.00020424, 3.42e-05,,,,,, 0.00029207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
